Name,depth_m,SO4_conc_ppb,d34S_permil,d34S_unc_permil,d33S_permil,d33S_unc_permil,D33S_permil,D33S_unc_permil,fvolc,d34S_volc,d34S_volc_permil
laki_bottom_bcg,60.4,55,8.35,0.71,4.25,0.19,-0.04,0.07,0,,
Laki1,60.29,56,11,0.55,5.64,0.19,-0.01,0.23,,,
Laki2-3,60.25,53,7.83,0.57,3.81,0.21,-0.22,0.23,,,
Laki6,60.18,237,-2.11,0.38,-1.17,0.52,-0.08,0.38,0.76,-5.7,1.99
Laki7,60.15,535,-2.01,0.29,-1.17,0.2,-0.13,0.12,0.89,-3.46,1.34
Laki8,60.13,916,-0.99,0.14,-0.56,0.22,-0.06,0.1,0.94,-1.79,1.07
Laki9,60.11,1247,0.86,0.16,0.47,0.23,0.03,0.11,0.96,0.35,0.88
Laki10,60.09,1348,2.13,0.13,1.25,0.2,0.16,0.09,0.96,1.72,0.75
Laki11,60.07,1018,2.85,0.48,1.6,0.21,0.13,0.09,0.94,2.38,0.85
Laki12,60.05,566,3.43,0.76,1.86,0.18,0.09,0.08,0.9,2.74,1.14
Laki13,60.03,338,5.09,0.79,2.77,0.18,0.15,0.08,0.83,4.28,1.26
Laki14,60.01,236,5.03,0.35,2.61,0.23,0.02,0.12,0.76,3.8,1.21
Laki15,59.99,135,4.14,1.8,1.94,0.14,-0.19,0.3,,,
Laki16,59.96,108,4.95,0.53,2.5,0.18,-0.04,0.2,,,
Laki17-18,59.94,69,,0.42,,0.19,0.04,0.15,,,
Laki19,59.9,111,7.51,0.58,3.79,0.2,-0.07,0.22,,,
Laki20-21,59.88,63,7.32,0.47,3.64,0.19,-0.12,0.15,,,
laki_top_bcg,59.74,59,7.85,0.32,3.98,0.29,-0.06,0.2,0,,
