,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0.0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,0.2541722043793271,-4.957416992124217,-2.447793015918731,0.08667927995968383,0.005830009531789846,8.397322594967273,7.554667308486136,-0.06268546458279665
1,1.0,60.24828375286042,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,0.37811350451425474,-4.834125443573018,-2.396844105787266,0.08702778424342916,0.01652065149739119,8.255751476338983,7.447949220930994,-0.06107353807829032
2,2.0,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,0.4999589654132608,-4.712918747651446,-2.374273232277571,0.08845453684850346,0.031230320690545023,8.063754591408593,7.3014078593383,-0.05881386350862504
3,3.0,60.24485125858123,1.1428571428571428,4.040577796616815,0.20716485362516351,0.4153546944415859,0.05530383503894145,0.6197104360498529,-4.593795065054043,-2.258208054895203,0.08218765001498929,0.04922949389819297,7.832235883008574,7.127353201899119,-0.05638621855610236
4,4.0,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,0.7373708228068321,-4.476751504609853,-2.160482544686915,0.08558562246981094,0.06988691659744004,7.570434905059983,6.930262532022215,-0.05313794564479406
5,5.0,60.241418764302054,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.10409028409047741,0.852944083546381,-4.361784129180887,-2.1109429841413645,0.07980668868954321,0.09265744413357796,7.286154759325049,6.712298016518443,-0.05027725120253448
6,6.0,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,0.9664352198270887,-4.24888796340456,-2.1140889568722563,0.08557152730948869,0.11707134144233493,6.985960173234011,6.474522464676665,-0.04610218077435233
7,7.0,60.23798627002289,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,1.0778502672960322,-4.138057003251156,-2.0578241856242157,0.08257745129615635,0.1427248684773302,6.675349551250468,6.2330104027963795,-0.04270372509232773
8,8.0,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894018,1.4281666092140513,0.1901581747385455,1.1871962842894934,-4.029284227363472,-1.9936385132812013,0.08643189540081808,0.16927199888382133,6.358904345414243,5.987134015357176,-0.0381717093143384
9,9.0,60.23455377574371,1.1428571428571428,8.77061888329325,0.4496792460427045,1.6571931507954076,0.22065270446134827,1.294481338682335,-3.922561610138348,-1.9377863959824577,0.0815694471592382,0.19641713744175154,6.040418665336801,5.737322007551532,-0.035055189534038314
10,10.0,60.23283752860412,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,1.399714493031945,-3.8178801365050647,-1.863249866556338,0.08470793020858847,0.22390871766680207,5.723011676295393,5.491436276422298,-0.03036258034351772
11,11.0,60.231121281464524,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,1.5029057880676155,-3.7152298183492136,-1.8699763674148493,0.0872268080986921,0.2515335749564476,5.409225009421059,5.227955342831095,-0.0256330797519156
12,12.0,60.22940503432494,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,1.604066224582251,-3.614599712526256,-1.7125999044905942,0.08492925407099228,0.27911200301848677,5.101107124390772,5.010346493514241,-0.022115853763955105
13,13.0,60.22768878718536,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,1.7032077437879045,-3.5159779404029563,-1.7453844949837758,0.08321656120547638,0.3064934122159357,4.80028631734595,4.744941301738446,-0.018574900332140966
14,14.0,60.22597254004577,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,1.800343206200744,-3.419351708861606,-1.7049987940144036,0.08580838688362069,0.3335525180755364,4.5080338504454955,4.505173777829926,-0.013738710799546472
15,15.0,60.22425629290617,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,1.8954863691264756,-3.3247073326968497,-1.5904220213755456,0.08024017037606135,0.36018599668832146,4.2253184905684105,4.298263383631247,-0.011766068213420463
16,16.0,60.22254004576659,1.1428571428571428,12.763193712817706,0.6543829349157406,3.259336485069524,0.4339756110112739,1.988651862819951,-3.2320302583309006,-1.5402285812859962,0.08176865581132065,0.38630955121287003,3.952853579750058,4.077219035373679,-0.007418992336330306
17,17.0,60.220823798626995,1.1428571428571428,13.227844752521246,0.6782061031536006,3.4748691379018384,0.4626734503212859,2.079855165396821,-3.1413050887704017,-1.5201185636831704,0.08351925720885556,0.4118553402925743,3.691137615943694,3.85166673722767,-0.0029854276412975577
18,18.0,60.21910755148741,1.1428571428571428,13.669834493612106,0.700867401766284,3.685074562266435,0.49066197740168765,2.169112576578197,-3.0525156097241295,-1.4720039705751113,0.08434275080076437,0.43676972502111705,3.440489197002239,3.645127640003737,0.0010386727358367646
19,19.0,60.21739130434783,1.1428571428571428,14.090268140665183,0.7224234958040655,3.889603384394836,0.5178946736756643,2.2564411903519765,-2.965644816798596,-1.4974420059909566,0.08506149211348624,0.4610112962269309,3.2010770710620564,3.4131578003069514,0.004955448851808354
20,20.0,60.21567505720824,1.1428571428571428,14.490196996792218,0.7429282867301078,4.088194850892802,0.544336820232141,2.34185886663601,-2.8806749436859347,-1.3338166513681,0.08315225309828977,0.4845491483784244,2.972945940761117,3.277994470016702,0.0075285916441248536
21,21.0,60.213958810068654,1.1428571428571428,14.870621092447166,0.7624330472021944,4.280664095659262,0.5699638024357354,2.4253842020312724,-2.797587491257611,-1.3509943744199338,0.08248748209212231,0.5073613704084629,2.756038585171263,3.065175004338773,0.010538176237526113
22,22.0,60.21224256292906,1.1428571428571428,15.232491686023227,0.7809865492810817,4.466891016125173,0.5947596288151704,2.5070364997542396,-2.716363257474663,-1.3016837377700206,0.08410022874135725,0.5294337272818607,2.5502147904260797,2.893418090500248,0.014615661069409086
23,23.0,60.210526315789465,1.1428571428571428,15.576713642494315,0.7986351863860544,4.646810564194185,0.6187156383170418,2.5868357388378116,-2.636982368024743,-1.266177779980557,0.09025751944708171,0.5507585092389712,2.355267516431147,2.7228627088066863,0.02115569269468127
24,24.0,60.208810068649896,1.1428571428571428,15.904147696048819,0.8154230893026394,4.8204042804042855,0.6418293730925384,2.6648025426922297,-2.559424307597072,-1.1468101397880541,0.08165189815249052,0.5713335283907811,2.1709366715733056,2.608365530537294,0.019403839292121156
25,25.0,60.2070938215103,1.1428571428571428,16.215612602373405,0.8313922365325567,4.987692920235169,0.664103596701674,2.74095814711609,-2.4836679517031555,-1.1828443744777846,0.08244174932414972,0.5911612447594707,1.99692081897217,2.4133700380811036,0.02275001616797024
26,26.0,60.20537757437071,1.1428571428571428,16.51188718596871,0.846582559261838,5.148730039481364,0.6855454400156429,2.815324367848815,-2.4096915989546916,-1.1131570524985257,0.08428855063471741,0.610248005991269,1.8328870956349426,2.288006227284577,0.026663749643724522
27,27.0,60.203661327231124,1.1428571428571428,16.79371228761626,0.8610320412095923,5.303596421480123,0.7061656592108337,2.8879235677537642,-2.33747300370786,-1.1054877914842913,0.08187172413390564,0.6286033868492922,1.6784795891038993,2.132649272696439,0.02785836590457898
