,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0.0,60.17999999999999,1.333333333333333,1.2683058993342853,0.06502743399904798,0.05738650908718406,0.007640924911863923,-0.748290868829038,-5.9093768021836866,-2.9337477319398886,0.08011347065591146,0.005853342766565613,8.01461876321653,4.0322840336172865,-0.08632617643939883
1,1.0,60.17844393592677,1.333333333333333,2.474755790048898,0.12688344261872053,0.1626176616198738,0.021652290086030798,-0.6255508706103874,-5.787275333319575,-2.9158532248021003,0.08348927115210625,0.016586771499071336,7.866311872647579,3.9573712124514318,-0.08447319633983635
2,2.0,60.176887871853545,1.333333333333333,3.6223664252823085,0.1857226980999229,0.30740928849792437,0.04093107122187233,-0.504886553843249,-5.667238748394468,-2.8805746036347,0.09050578916284913,0.03135531266539883,7.665031064776529,3.855257807053758,-0.08173079215118774
3,3.0,60.175331807780324,1.333333333333333,4.714007429386284,0.2416923292293575,0.48458047684851685,0.06452114087876504,-0.38629608148119887,-5.549265219888577,-2.745362152827009,0.07794717294662412,0.04942652330830886,7.422132846926726,3.7362759795479996,-0.07913824404693641
4,4.0,60.173775743707104,1.333333333333333,5.7524084734814895,0.29493228923812675,0.6879176015966134,0.09159516449003034,-0.2697765693682652,-5.433351878620078,-2.708964414270798,0.0844893555079107,0.07016662245792459,7.147249485543203,3.5974101842278943,-0.07525183108096876
5,5.0,60.17221967963388,1.333333333333333,6.740166101057115,0.34557570575770946,0.912054642582099,0.1214386647722236,-0.15532409211618692,-5.319494819592111,-2.6637555447646055,0.08616999290561811,0.09302828364694447,6.848524224011883,3.4465620868525586,-0.07116795383778106
6,6.0,60.17066361556064,1.333333333333333,7.679750220682066,0.393749213708382,1.1523678585593697,0.15343599773111127,-0.04293369081669107,-5.207689109664561,-2.580388939837424,0.08242111132209073,0.11753989180756032,6.532815782329157,3.2912249553099495,-0.06735641795862395
7,7.0,60.16910755148741,1.333333333333333,8.573510282062918,0.43957327195248075,1.4048831167737275,0.18705801373812325,0.06740061743906178,-5.097928797024345,-2.550870861380503,0.08482333273968745,0.1432960910193111,6.20587607124892,3.124081076788518,-0.06264066010211237
8,8.0,60.16755148741419,1.333333333333333,9.42368115089195,0.4831624645043023,1.6661943774163928,0.2218512038616364,0.1756858282672269,-4.990206922419853,-2.490269859215839,0.08253938304424446,0.1699494700387796,5.872504555094821,2.9578236835669323,-0.05844098404347582
9,9.0,60.165995423340966,1.333333333333333,10.232388697175463,0.5246257870498221,1.9333920092613093,0.25742815520490625,0.2819299369637607,-4.884515532120588,-2.4583544351659325,0.0864142332691964,0.1972032505959277,5.536682261790224,2.785235452347655,-0.05304791834777385
10,10.0,60.164439359267725,1.333333333333333,11.001655111016111,0.5640669194926846,2.203999768957641,0.29345915979635245,0.38614192378805695,-4.780845692557061,-2.3311859301023374,0.0839572115485443,0.2248048593710604,5.201688057946606,2.633539416359424,-0.04880530696852095
11,11.0,60.162883295194504,1.333333333333333,11.73340395914148,0.6015844852079648,2.4759194142412597,0.3296648399243463,0.48833173760856935,-4.679187506590261,-2.2816592036622407,0.08383495870673219,0.2525402786207288,4.870199474167986,2.468415843969011,-0.04408611985545426
12,12.0,60.1613272311213,1.333333333333333,12.429464994822835,0.6372722976519788,2.747382042897817,0.3658096689954213,0.5885102779660611,-4.57953013135477,-2.311950540748544,0.0895813402600143,0.28022908282078435,4.544380075041826,2.2839661458739555,-0.03773712422810658
13,13.0,60.15977116704805,1.333333333333333,13.09157873321138,0.6712195949447873,3.0169053565667237,0.40169628127588114,0.6866893756157388,-4.481861797615836,-2.2102995534262826,0.083094459025439,0.3077200796348249,4.225955114317781,2.139709329857256,-0.03487045465962041
14,14.0,60.15821510297483,1.333333333333333,13.721400803532736,0.7035112630119805,3.2832561431024567,0.43716047647624656,0.7828817716137593,-4.386169830573696,-2.2060668396936967,0.08525521456874019,0.334887483168109,3.9162769939093436,1.9704177639109646,-0.029517502815908165
15,15.0,60.1566590389016,1.333333333333333,14.320506089022365,0.7342280478437049,3.545417354692567,0.4720668362535946,0.8771010950171519,-4.292440672047984,-2.1500582558125214,0.08596365948823737,0.36162755598215207,3.616381851548814,1.8227613200438495,-0.024647006403373913
16,16.0,60.15510297482838,1.333333333333333,14.890392664953998,0.7634467574016978,3.802559232581111,0.506304879513153,0.9693618392717873,-4.200659903966725,-2.0602094652148732,0.08174430239318742,0.3878556638573555,3.327038432654874,1.6943828053610028,-0.021738968936758155
17,17.0,60.153546910755146,1.333333333333333,15.432485544608127,0.7912404536792012,4.0540139942188125,0.5397856920415003,1.0596793373641278,-4.110812273085398,-2.034149061239707,0.08366010691774006,0.41350369391812136,3.0487902541401475,1.5478464774336793,-0.016610965839939686
18,18.0,60.151990846681926,1.333333333333333,15.948140242547463,0.8176786353939982,4.299253655977508,0.5724389736353024,1.1480697358178604,-4.022881716855058,-1.970448827731435,0.08110201588960697,0.43851779258109175,2.781991938796537,1.4230078628894467,-0.013456167682089553
19,19.0,60.1504347826087,1.333333333333333,16.43864616410939,0.8428274117714103,4.53787061512731,0.6042104526216086,1.234549967617582,-3.9368513903578024,-1.9411018472462471,0.08319493974973113,0.46285638494428005,2.526840486182477,1.2894949932969384,-0.008388627033652916
20,20.0,60.148878718535464,1.333333333333333,16.905229829590926,0.8667496678517927,4.769560659374939,0.6350596236041648,1.3191377241444524,-3.852703694225095,-1.893067557304278,0.08182371786047637,0.4864884417840119,2.283402147534396,1.170730465092623,-0.005026419406845902
21,21.0,60.14732265446224,1.333333333333333,17.349057941188363,0.8895052217358937,4.994108111602474,0.6649577695083582,1.401851426210987,-3.770420303452384,-1.8308216965884736,0.08218737283845368,0.5093919643392865,2.0516354863280672,1.0657872027104884,-0.0009675069504160349
22,22.0,60.14576659038902,1.333333333333333,17.771240300360436,0.911150974161262,5.211372852146036,0.6938862336176989,1.4827101942827616,-3.689982197022328,-1.806236463528319,0.08302706893200895,0.5315526606025555,1.831411131144049,0.9480161304313143,0.003234930016794183
23,23.0,60.14421052631578,1.333333333333333,18.172832582910033,0.93174105078373,5.421278991559883,0.7218349113698822,1.5617338179765647,-3.6113696882481827,-1.8169783719103025,0.07981067300321998,0.552962789957682,1.622528662064791,0.8161946468740365,0.005103238804477674
24,24.0,60.14265446224256,1.333333333333333,18.554838978723623,0.9513269375197462,5.623804993805001,0.7488009352746284,1.638942724924384,-3.5345624557476145,-1.7836737700385612,0.08328723243715919,0.5736201557591444,1.4247310147427112,0.7136212300944988,0.010549656523018367
25,25.0,60.14109839816934,1.333333333333333,18.918214702768974,0.9699576092879828,5.818975073607698,0.7747875294852865,1.7143579490936613,-3.459539574957844,-1.706299542598293,0.08665786624741711,0.5935272278747802,1.2377167364721344,0.6429497679129607,0.01594623404830561
26,26.0,60.139542334096106,1.333333333333333,19.263868383630157,0.9876796524721442,6.006851712728256,0.7998030133515834,1.788001098652998,-3.3862795501026928,-1.7311377763750602,0.08625449864983592,0.6126903793557714,1.061150385152924,0.5169763048364614,0.019032793221427518
27,27.0,60.137986270022886,1.333333333333333,19.5926643355523,1.0045373814111906,6.187529158393476,0.8238599357459726,1.859894323472995,-3.3147603465226854,-1.6228073162719925,0.08336917923215559,0.6311192232859596,0.8946713241428996,0.4783766871538811,0.020410334608659597
28,28.0,60.13643020594966,1.333333333333333,19.905424719677367,1.0205729492082691,6.3611277834720354,0.8469743241297106,1.9300602823496902,-3.244959423280997,-1.5573671593705196,0.08123941717422145,0.6488260375277105,0.7379011329552537,0.419976074108918,0.02205060571939172
29,29.0,60.13487414187644,1.333333333333333,20.20293159987527,1.0358264531354262,6.527789202366084,0.8691650342413757,1.99852211003821,-3.1768537659585268,-1.4756201502386057,0.08325357930587529,0.6658252665497614,0.5904498249519872,0.3786883201371073,0.026256830298417442
