,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.18,1.3333333333333333,1.2683058993342853,0.06502743399904798,0.057386509087184054,0.007640924911863924,-0.7482702396751639,-5.909779156637707,-2.964328837377739,0.08358199204872019,0.005853342766565613,8.014616408097998,4.032105031924978,-0.08630587399479354
1,1,60.17844393592677,1.3333333333333333,2.474755790048898,0.12688344261872053,0.1626176616198738,0.021652290086030798,-0.6255204032087347,-5.7876633689867285,-2.9012547460930405,0.0835872795811321,0.016586771499071336,7.866305436388634,3.957613354082013,-0.08447157069641914
2,2,60.176887871853545,1.3333333333333333,3.6223664252823085,0.1857226980999229,0.30740928849792437,0.04093107122187233,-0.5048465583119555,-5.667612849632464,-2.8392510501444868,0.08359247738165543,0.03135531266539883,7.665019334715244,3.8565535199938883,-0.08194756120364047
3,3,60.17533180778032,1.3333333333333333,4.714007429386284,0.24169232922935746,0.4845804768485168,0.06452114087876502,-0.3862468623061499,-5.54962576541429,-2.7783166147797855,0.08359758554532526,0.049426523308308865,7.422115026414896,3.734647155066178,-0.07885896379692514
4,4,60.1737757437071,1.3333333333333333,5.75240847348149,0.2949322892381268,0.6879176015966133,0.09159516449003034,-0.26971842536349655,-5.4336992414314444,-2.7184497707896105,0.08360260421225174,0.07016662245792457,7.1472251122679635,3.5967446287981595,-0.07531405142434534
5,5,60.17221967963387,1.3333333333333333,6.740166101057114,0.3455757057577094,0.912054642582099,0.1214386647722236,-0.15525731639010054,-5.31982936689579,-2.6596483176664076,0.08360753356706496,0.09302828364694447,6.848493101650422,3.446944175140052,-0.07140633503196174
6,6,60.17066361556064,1.3333333333333333,7.679750220682065,0.393749213708382,1.1523678585593697,0.1534359977311113,-0.042858570742265734,-5.208011202808005,-2.6019095276967885,0.0836123738381378,0.11753989180756033,6.5327779235359245,3.2886954277413247,-0.06721639709137336
7,7,60.169107551487414,1.3333333333333333,8.573510282062918,0.43957327195248086,1.4048831167737272,0.1870580137381232,0.06748380024768075,-5.0982387914334515,-2.5452301509718556,0.08361712529836307,0.1432960910193111,6.205831650261856,3.124889368540649,-0.06281350491341257
8,8,60.16755148741419,1.3333333333333333,9.42368115089195,0.4831624645043022,1.666194377416393,0.2218512038616364,0.1757767979742031,-4.99050516754318,-2.4896064213015823,0.08362178826304412,0.16994947003877958,5.872453868494169,2.957936434488864,-0.05825702985017361
9,9,60.16599542334096,1.3333333333333333,10.232388697175463,0.5246257870498221,1.933392009261309,0.2574281552049063,0.2820284235256487,-4.884802371377117,-2.4350340630071576,0.083626363090894,0.1972032505959277,5.536625696156438,2.789834305542472,-0.05359769540917453
10,10,60.16443935926773,1.3333333333333333,11.001655111016111,0.5640669194926845,2.203999768957641,0.2934591597963524,0.38624766296257995,-4.781121463291127,-2.3815082985740865,0.08363085018203709,0.2248048593710604,5.201626063345516,2.622226703391914,-0.04887867458962275
11,11,60.162883295194504,1.3333333333333333,11.73340395914148,0.6015844852079648,2.4759194142412597,0.3296648399243463,0.4884444709585267,-4.679452540031437,-2.3290238571344046,0.0836352499785642,0.2525402786207288,4.870132542548907,2.4564543611843765,-0.04413655435330879
12,12,60.161327231121284,1.3333333333333333,12.429464994822835,0.6372722976519787,2.747382042897817,0.3658096689954212,0.5886297528581164,-4.57978475258336,-2.277574983753694,0.08363956296286723,0.28022908282078435,4.544308722768472,2.293599176682076,-0.03940218303041146
13,13,60.159771167048056,1.3333333333333333,13.091578733211382,0.6712195949447873,3.016905356566723,0.4016962812758811,0.6868153452141978,-4.482106325534474,-2.2271554494880386,0.08364378965741714,0.3077200796348249,4.225879868167185,2.1345224321788163,-0.03470141459380224
14,14,60.15821510297483,1.3333333333333333,13.721400803532735,0.7035112630119804,3.283256143102457,0.4371604764762465,0.7830139948699077,-4.386404577883973,-2.1777585621804985,0.08364793062276554,0.33488748316810896,3.916198379973425,1.9798978517201837,-0.030055762091312117
15,15,60.1566590389016,1.3333333333333333,14.320506089022365,0.7342280478437047,3.545417354692567,0.4720668362535945,0.8772393366527353,-4.29266594523281,-2.12937717795747,0.08365198645809979,0.361627555982152,3.616300386557557,1.8302401676836482,-0.025482971071492423
16,16,60.155102974828374,1.3333333333333333,14.890392664954,0.7634467574016979,3.8025592325811113,0.506304879513153,0.9695058697583026,-4.200876003279341,-2.0820037133923996,0.08365595779924462,0.38785566385735554,3.326954617312521,1.6859297827658362,-0.02099752256017534
17,17,60.153546910755146,1.3333333333333333,15.43248554460813,0.7912404536792012,4.054013994218812,0.5397856920415003,1.0598289328980215,-4.111019492542889,-2.0356301582928893,0.08365984531721882,0.4135036939181214,3.0487045681290237,1.5472340383311374,-0.01661107401272155
18,18,60.15199084668192,1.3333333333333333,15.948140242547465,0.8176786353939983,4.299253655977508,0.5724389736353024,1.1482246782903438,-4.023080344236818,-1.9902480890708896,0.08366364971867934,0.43851779258109175,2.7819048371555413,1.4143255345121326,-0.012332845669963684
19,19,60.1504347826087,1.3333333333333333,16.43864616410939,0.8428274117714103,4.53787061512731,0.6042104526216086,1.2347100445797565,-3.9370417072105424,-1.9458486826589017,0.0836673717423686,0.46285638494428005,2.526752396812024,1.2872978902179115,-0.008169958869408717
20,20,60.14887871853547,1.3333333333333333,16.90522982959093,0.8667496678517929,4.769560659374938,0.6350596236041648,1.3193027287687897,-3.8528859758742984,-1.9024227309192288,0.08367101216166795,0.4864884417840119,2.2833134696189092,1.1661792812580665,-0.004127732080742727
21,21,60.14732265446224,1.3333333333333333,17.349057941188367,0.8895052217358939,4.994108111602474,0.6649577695083583,1.402021157248301,-3.770594819015649,-1.8599606555131931,0.08367457177826942,0.5093919643392865,2.051546589502488,1.050944051185024,-0.00020993976109998785
22,22,60.145766590389016,1.3333333333333333,17.771240300360436,0.9111509741612622,5.211372852146036,0.693886233617699,1.4828844560150767,-3.690149209430893,-1.8184525231744741,0.08367805142539542,0.5315526606025555,1.8313223552539226,0.9415226514243211,0.0035809614931594444
23,23,60.14421052631579,1.3333333333333333,18.172832582910036,0.9317410507837303,5.421278991559884,0.7218349113698823,1.5619124201655676,-3.611529454272566,-1.7778880613497083,0.08368145196402388,0.552962789957682,1.6224403173982074,0.8378101340619349,0.007243635537953298
24,24,60.14265446224256,1.3333333333333333,18.554838978723623,0.9513269375197462,5.623804993805002,0.7488009352746283,1.6391254827572421,-3.5347152260279957,-1.7382566741547256,0.08368477428311039,0.5736201557591445,1.4246433826306832,0.7396733917095124,0.010777694538613672
25,25,60.14109839816933,1.3333333333333333,18.91821470276897,0.9699576092879828,5.818975073607698,0.7747875294852864,1.7145446831239308,-3.4596855940386417,-1.69954745860601,0.08368801929559133,0.5935272278747801,1.2376300701718916,0.6469573136072782,0.014183549019776087
