,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,0.2779154969301256,-5.420510123129607,-2.045266004155666,0.05646459207653276,0.005830009531789846,8.394622757599404,7.557014044801518,-0.06286161650115549
1,1,60.24828375286041,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,0.4134376784910021,-5.285759990076189,-2.524831705331465,0.0695546810077774,0.01652065149739119,8.24829017939202,7.445834782402935,-0.06136220512742446
2,2,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,0.5466701417864428,-5.15328653112368,-2.232251239660088,0.11567655486055539,0.031230320690545023,8.050001764308972,7.305843251712854,-0.05796371115626486
3,3,60.244851258581235,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,0.6776148336646859,-5.023087810515303,-2.369361709110396,0.07147308377963846,0.04922949389819297,7.811102018415348,7.121881163757171,-0.05691369122920735
4,4,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,0.8062748578159251,-4.895160742242388,-2.003854506752889,0.08152780130910031,0.06988691659744004,7.54119357356596,6.941208782646131,-0.05342153425381997
5,5,60.24141876430206,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,0.9326544683492255,-4.769501096430373,-1.6126858933500632,0.071664097570312,0.09265744413357796,7.248376747209819,6.758465245072596,-0.05103172288426722
6,6,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,1.0567590613419497,-4.646103507742416,-2.25863189741915,0.09734361037794237,0.11707134144233493,6.939457616616631,6.4576006287308205,-0.04472400721795786
7,7,60.23798627002288,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,1.1785951643923376,-4.524961485767198,-1.9962014804706385,0.07577141833059464,0.1427248684773302,6.620128659870076,6.241805495284641,-0.043675115252189894
8,8,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,1.298170424210765,-4.406067427356497,-1.9185209507933676,0.07505773389748782,0.16927199888382133,6.295125500005581,5.9998493153107715,-0.040097036367634516
9,9,60.234553775743706,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,1.4154935922956469,-4.289412630867351,-1.8222603879323174,0.11796332751057292,0.19641713744175154,5.968362837977626,5.760013295352813,-0.027906807735031534
10,10,60.23283752860412,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,1.530574508740834,-4.174987312264289,-2.1454927439249483,0.07049760612987122,0.22390871766680207,5.643052266501531,5.428239635680104,-0.03354439578561298
11,11,60.23112128146453,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,1.643424084233125,-4.062780623016016,-2.006948564082456,0.08589118252466665,0.2515335749564476,5.321804313044228,5.1935022365336545,-0.025969034427353474
12,12,60.22940503432494,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,1.7540542803000658,-3.952780669738476,-1.5208722276530695,0.07099836130952664,0.27911200301848677,5.006716760040561,5.063859989430444,-0.02600413314644352
13,13,60.22768878718536,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,1.862478087875541,-3.844974535504808,-1.3908389288784795,0.09288801332041352,0.3064934122159357,4.699451028305759,4.853607182080089,-0.015610663972350856
14,14,60.22597254004577,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,1.9687095042557612,-3.739348302759571,-1.6688940120153095,0.07978259060081871,0.3335525180755364,4.4012981807752345,4.517216618780291,-0.01574863032308528
15,15,60.224256292906176,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,2.0727635085222573,-3.6358870777543073,-0.92260733774574,0.053220462080783015,0.36018599668832146,4.1132359039456725,4.538800881057545,-0.021498188775982995
16,16,60.22254004576659,1.1428571428571428,12.763193712817706,0.6543829349157406,3.2593364850695234,0.43397561101127385,2.1746560355118127,-3.534575016430619,-1.509431321393917,0.06373075408605544,0.38630955121287003,3.8359776500267495,4.089116311021175,-0.01438720605663936
17,17,60.220823798627,1.1428571428571428,13.227844752521248,0.6782061031536006,3.4748691379018384,0.4626734503212859,2.274403948420378,-3.435395351659487,-1.2506411365830195,0.06449205676861691,0.4118553402925743,3.570014970644777,3.96265245466717,-0.010821881753427066
18,18,60.21910755148741,1.1428571428571428,13.669834493612106,0.700867401766284,3.6850745622664345,0.49066197740168765,2.3720250101277873,-3.338330421753577,-1.4025880470959207,0.07929717456478524,0.43676972502111705,3.3156539401451757,3.67544641381383,-0.0011650822093249164
19,19,60.21739130434783,1.1428571428571428,14.090268140665183,0.7224234958040655,3.8896033843948357,0.5178946736756643,2.467537853335866,-3.243361700158487,-1.838948298151788,0.06450072243902039,0.4610112962269308,3.07304645068021,3.255719541888234,-0.004523298227240517
20,20,60.21567505720824,1.1428571428571428,14.490196996792218,0.7429282867301078,4.088194850892802,0.544336820232141,2.5609619496103075,-3.150469826234792,-1.1745437421485372,0.08181459903178201,0.4845491483784244,2.8422170601852113,3.355170022538795,0.006880432505373582
21,21,60.21395881006865,1.1428571428571428,14.870621092447166,0.7624330472021944,4.280664095659262,0.5699638024357354,2.6523175774284535,-3.059634637028852,-1.4978509906801163,0.06812869323624682,0.5073613704084629,2.6230859861811404,2.990665630259457,0.003253081446203357
