,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,0.23203924730408332,-4.525732112344527,-2.218996601165313,0.07911874844424016,0.005830009531789846,8.399839321931118,7.556001193764988,-0.0627295425535971
1,1,60.24828375286041,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,0.3451852327014393,-4.413124324793127,-2.20755043516907,0.07675033032328304,0.01652065149739119,8.262706689102355,7.451076475693937,-0.061243328312785554
2,2,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,0.45641618411251805,-4.302422462047595,-2.610087985241538,0.10661537932998844,0.031230320690545023,8.07657452205028,7.294043288979673,-0.05824669457391779
3,3,60.244851258581235,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,0.5657338563131997,-4.19362477767915,-2.609081337534014,0.0967998092787914,0.04922949389819297,7.851936063729132,7.110079887772413,-0.055666869350785596
4,4,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,0.6731409688249812,-4.086728565102393,-2.049040481044484,0.08155367567663774,0.06988691659744004,7.5976924057044295,6.93805087422944,-0.05341972597405387
5,5,60.24141876430206,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,0.7786412004466836,-3.981730163016839,-2.071604940443561,0.06700308480844797,0.09265744413357796,7.32136958846264,6.715942979104695,-0.05146360041385553
6,6,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,0.8822391820968445,-3.8786249625321068,-2.276250966823601,0.09739022248433926,0.11707134144233493,7.029307359432614,6.455537940640675,-0.04471855027613453
7,7,60.23798627002288,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,0.9839404879907754,-3.7774074159475646,-2.193827536517423,0.05682104290238854,0.1427248684773302,6.726823216164776,6.2135993424276705,-0.04637980509277664
8,8,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,1.0837516251838153,-3.678071047159559,-1.9877269220519578,0.10635133282910214,0.16927199888382133,6.418354902461703,5.988134682221134,-0.03479990632421155
9,9,60.234553775743706,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,1.1816800215176393,-3.5806084636580415,-1.8312394386810205,0.07260722197166558,0.19641713744175154,6.107584123507663,5.758249655907808,-0.036815524150489685
