,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0340999063268108,0.10875723653033198,0.09597792437167818,0.012779312158653792,0.511116182459137,-4.859862325168107,-2.3610325175894564,0.0808139348100756,0.01081858588599759,8.33136618085387,7.5054152853684,-0.06199943237421617
1,1,60.24828375286041,1.1428571428571428,1.96979219555879,0.20716485362516368,0.2675225626231026,0.035620215373739265,0.7540311010627576,-4.618251430863585,-2.5149066352235794,0.08222468820817674,0.030155015740622213,8.08079100557693,7.307906769293969,-0.059165188148459835
2,2,60.246567505720826,1.1428571428571428,2.81644159062361,0.29620774779232256,0.49749025283466525,0.06624005758075995,0.9885370447211272,-4.3850043701532115,-2.088879002041688,0.07841915974637903,0.05607686416405437,7.754452966984935,7.069254611075824,-0.05559954617392883
3,3,60.244851258581235,1.1428571428571428,3.5825216432357694,0.37677709024498385,0.7715382222986541,0.1027291207809949,1.214670034227927,-4.160085315610851,-1.9809252888347562,0.08642254345292422,0.0869674206533577,7.376741214988958,6.778936625964176,-0.05051765499290332
4,4,60.243135011441645,1.1428571428571428,4.275699540050208,0.4496792460427049,1.0777206331934506,0.14349683514790842,1.4324827115601568,-3.9434419078545613,-1.7534176315896488,0.07775643143814737,0.12148015606342481,6.966965734129028,6.475450514346793,-0.04639406054672632
5,5,60.24141876430206,1.1428571428571428,4.902912838443381,0.51564384446397,1.4061392162209954,0.18722526143642507,1.6420439456101832,-3.7350056476965765,-1.7705376406296214,0.0994000060779987,0.1584993421971226,6.540258534626125,6.12598786280263,-0.03773209824515454
6,6,60.23970251716247,1.1428571428571428,5.470438899919277,0.5753310813812466,1.748641400197355,0.23282889740488685,1.843438328430258,-3.5346923971938393,-1.8669334173339047,0.08402100707760596,0.19710602511663158,6.108329057655749,5.744707914503794,-0.034471993472697395
7,7,60.23798627002288,1.1428571428571428,5.983957716053244,0.6293383267231756,2.0985597434163306,0.2794199835042002,2.0367655689030872,-3.3424029827250346,-1.377038456335411,0.08781866104234926,0.23654865397095548,5.680095878017706,5.4866656446038,-0.027752626654089327
8,8,60.236270022883296,1.1428571428571428,6.448608755756784,0.6782061031536012,2.4504872588006568,0.32627858776927493,2.2221397920083596,-3.158023891959516,-1.344183286583922,0.08436396407507374,0.2762177557540585,5.2622136086561735,5.139101233818692,-0.022701765477589456
9,9,60.234553775743706,1.1428571428571428,6.869042402809861,0.7224234958040662,2.8000839131160196,0.37282684148870354,2.399688752957152,-2.9814280555067185,-1.00786376868911,0.07495070454033304,0.3156241239885046,4.859511172857168,4.892268967670292,-0.019843617125826607
10,10,60.23283752860412,1.1428571428571428,7.24946649846481,0.7624330472021951,3.1439101828859126,0.41860677743230207,2.569552976356304,-2.812475703128592,-1.128534374415513,0.07693104466877099,0.3543800572275172,4.47535525207908,4.515383544951237,-0.013773659402920978
11,11,60.23112128146453,1.1428571428571428,7.593688454935898,0.798635186386055,3.4792840766817514,0.4632612925902161,2.7318848312600785,-2.651015283723912,-1.5915882624960576,0.09438882217926992,0.392183242675674,4.111950688782547,4.00331148707733,-0.0016159508410282172
12,12,60.22940503432494,1.1428571428571428,7.905153361260484,0.8313922365325573,3.804158494456411,0.5065178187578978,2.8868475534336024,-2.496884437815261,-1.1592583730682948,0.07554813625798573,0.42880293219144094,3.7705878797123313,3.851614792704744,-0.003910805248694818
