,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.1053898291222923,0.0374673137348504,0.03306478831917074,0.004402525415679651,0.1534091984090047,-4.525997481837907,-2.3299153806036754,0.10659728374429189,0.00421856162473572,8.420789232191874,7.57137754805344,-0.06284354423570734
1,1,60.24828375286041,1.1428571428571428,2.174540669158427,0.07370630282100829,0.09422515721678554,0.012545933923393494,0.2288470770743789,-4.450912553540132,-2.227118226076241,0.08088592203703282,0.012021689916247146,8.320238454698519,7.49502497327384,-0.061824868456215425
2,2,60.246567505720826,1.1428571428571428,3.2086405754852376,0.10875723653033191,0.1791313337610379,0.023851059986079545,0.3034405321395983,-4.376668098046932,-2.2025241363381465,0.09089094605341241,0.022854420330702806,8.181905437527755,7.388988202232371,-0.0600314508690423
3,3,60.244851258581235,1.1428571428571428,4.208838654391463,0.14265906395091718,0.2839790292622654,0.037811368449689624,0.37718984377366205,-4.303263836500704,-2.2343868808466505,0.09754685597362922,0.036231383776345306,8.01264015425385,7.256527533013547,-0.05772419506980075
4,4,60.243135011441645,1.1428571428571428,5.176246339980737,0.17544945726786962,0.4054442163219727,0.05398427020816233,0.4500954818900116,-4.230699301186247,-2.624467444017786,0.0954884696420244,0.05172848516181934,7.818357879215704,7.0837382868721175,-0.055333961780188956
5,5,60.24141876430206,1.1428571428571428,6.111938629212716,0.2071648536251636,0.5406256067235775,0.07198346322355872,0.5221581056922275,-4.158973835983959,-2.8459545299091005,0.13535378874884874,0.06897556445420328,7.604157986540254,6.8918890942062525,-0.04984108371417855
6,6,60.23970251716247,1.1428571428571428,7.016955276454752,0.23784049561510665,0.6869939240809915,0.09147217825769269,0.5933785630711785,-4.088086596970131,-2.213593309420392,0.07760325496863896,0.08764992464428875,7.374427966049927,6.751995178257656,-0.05118830034514376
7,7,60.23798627002288,1.1428571428571428,7.892301948871493,0.26751047044040144,0.8423471716685139,0.11215722285287896,0.663757889852512,-4.018036553165794,-2.0509847638428003,0.08054259940581954,0.10747062460536522,7.132934483673102,6.574694446335058,-0.0480744255057831
8,8,60.236270022883296,1.1428571428571428,8.738951343936312,0.2962077477923224,1.0047711898466416,0.13378372961419474,0.7332973088973738,-3.948822487430559,-2.115479724010938,0.07582577667675228,0.12819344682359654,6.8829030885166596,6.366154868620652,-0.04569285035129825
9,9,60.234553775743706,1.1428571428571428,9.557844270306356,0.32396421648709794,1.172604880444009,0.15613052588973053,0.8019982290585759,-3.8804429975038968,-1.8055606709387328,0.0674657942774104,0.14960646056066976,6.627087971085644,6.204197759527827,-0.043958858863302315
10,10,60.23283752860412,1.1428571428571428,10.349890693262289,0.3508107199012096,1.3444095486537073,0.1790060516915112,0.8698622439897719,-3.8128964971877455,-2.2256534167621744,0.09499125133527464,0.17152611034834647,6.3678330038268856,5.925682237722373,-0.03636545474693045
11,11,60.23112128146453,1.1428571428571428,11.115970745874447,0.3767770902449835,1.5189418775980852,0.2022447613006056,0.9368911308156314,-3.7461812176726728,-2.4123680601579878,0.08899407134277393,0.19379376795598996,6.107125143227341,5.670407129468241,-0.033997075392405075
12,12,60.22940503432494,1.1428571428571428,11.85693570701903,0.40189218171256014,1.6951301077206398,0.22570395159000572,1.0030868486590183,-3.68029520900115,-2.2576992124190287,0.0983477624959539,0.21627269324504667,5.846641139485922,5.4784910013465975,-0.02854484506905869
13,13,60.22768878718536,1.1428571428571428,12.573608947331094,0.42618390254507854,1.8720530434688032,0.2492609667969152,1.0684515370327219,-3.6152363416711575,-1.8394928299974023,0.07728192003741974,0.23884535574263333,5.587788382987428,5.355562384485001,-0.029921603524588742
14,14,60.22597254004577,1.1428571428571428,13.266786844145532,0.4496792460427045,2.0489215541245467,0.2728107353869609,1.1329875140928536,-3.551002308372353,-1.985271574028502,0.10137342277016792,0.26141107443026446,5.331740614421302,5.104144607420177,-0.02044558787116098
15,15,60.224256292906176,1.1428571428571428,13.93723966644271,0.4724043205599635,2.225062274815476,0.29626359986903406,1.1966972747627924,-3.48759062585402,-2.083738840331084,0.07047117070824171,0.2838839382419836,5.0794691356255655,4.860483407361763,-0.025511683773820376
16,16,60.22254004576659,1.1428571428571428,14.585712430782143,0.4943843785177098,2.3999032483105807,0.3195434050226052,1.2595834887239032,-3.4249986369258023,-1.7727810008821843,0.08496321204709556,0.30619097417695257,4.831770079544513,4.739383168266788,-0.01808448283877542
17,17,60.220823798627,1.1428571428571428,15.212925729175316,0.5156438444639696,2.5729612787130627,0.3425858140614875,1.3216489982821322,-3.3632235125797827,-2.0751459457233334,0.1091672805790811,0.3282705338239435,4.589288228707376,4.432884607488516,-0.006859642994833423
18,18,60.21910755148741,1.1428571428571428,15.819576529817619,0.5362063422148411,2.743830795085191,0.3653368258427131,1.3828968161095911,-3.302262254239574,-1.8051094720724636,0.0847405029528181,0.3500708725300795,4.352537811155637,4.316204591288113,-0.011645203286517504
19,19,60.21739130434783,1.1428571428571428,16.406338951569154,0.556094721105609,2.912174046798253,0.3877514693925467,1.4433301228653495,-3.2421116961268703,-1.586611807572913,0.07264809915874526,0.37154889847734374,4.121920649736587,4.195097805479835,-0.012952891142354893
20,20,60.21567505720824,1.1428571428571428,16.97386501304505,0.5753310813812461,3.0777124733663004,0.4097926548131986,1.5029522647009852,-3.1827685077459034,-1.37967996503785,0.07760153166413986,0.3926690716052693,3.897741994204693,4.082049308972686,-0.008131063850063111
21,21,60.21395881006865,1.1428571428571428,17.522785357147676,0.5939367987545149,3.2402191100236037,0.43143016209721136,1.561766750652449,-3.1242291964783675,-2.0334030724616925,0.10930040528567275,0.4134024346786962,3.6802243248363924,3.6253433743405634,0.007900109353583012
22,22,60.21224256292906,1.1428571428571428,18.05370995184586,0.6119325481589581,3.3995119066322244,0.4526397515503377,1.6197772499226826,-3.066490110288922,-1.8223390174711973,0.09543141146373113,0.43372576088249176,3.4695193805502123,3.520833716887258,0.005397895682426539
23,23,60.21052631578947,1.1428571428571428,18.567228767979827,0.6293383267231751,3.5554478519133643,0.47340238144203484,1.676987589058987,-3.0095474405327227,-1.9447373398300272,0.08456448322891053,0.4536208041632771,3.2657186332240418,3.2775883730266466,0.003631599206386782
24,24,60.20881006864989,1.1428571428571428,19.063912434845058,0.6461734759919103,3.70791780770978,0.4937035201954949,1.7334017490291398,-2.953397224868093,-1.542718869756099,0.0737153688374903,0.4730736401602638,3.0688624024570856,3.2818413199287972,0.0013806370790120162
25,25,60.2070938215103,1.1428571428571428,19.544312874283552,0.6624567034186489,3.8568419692055045,0.5135325419229249,1.7890238622013666,-2.898035350260786,-1.412870583770931,0.07776425743610815,0.49207408699867766,2.8789477809792703,3.171767396322759,0.005981309598935752
26,26,60.20537757437071,1.1428571428571428,20.008963913987092,0.6782061031536007,4.00216587692915,0.5328821954299545,1.843858209231053,-2.8434575560835063,-1.8259449273451134,0.08211324526619102,0.5106151964823322,2.6959355198212025,2.793489702503913,0.010822302786858914
27,27,60.203661327231124,1.1428571428571428,20.458381880694063,0.6934391761501731,4.143856915103078,0.5517481379762456,1.897909215860194,-2.7896594373004735,-1.1682330320820222,0.0856409952919579,0.5286928073365028,2.519756003884955,2.97057782556619,0.015320847839567612
28,28,60.201945080091534,1.1428571428571428,20.89306617393893,0.7081728496122757,4.281901238609564,0.5701285261057907,1.9511814496309121,-2.736636447739804,-1.647616331413193,0.09124261903681319,0.5463051531357778,2.3503144323531036,2.554024444730054,0.02100884739125892
29,29,60.20022883295194,1.1428571428571428,21.313499820992007,0.7224234958040656,4.416301077647506,0.5880236567661231,2.0036796165237014,-2.6843839034393913,-0.9755588577665675,0.06290235235362207,0.56345251841945,2.1874953041858243,2.773896198934068,0.0076949332861430825
30,30,60.19851258581236,1.1428571428571428,21.720150013606112,0.7362069502430375,4.5470723751556665,0.6054356527348764,2.055408557517291,-2.6328969860691664,-1.5953530191817888,0.058121629645579986,0.5801369372628324,2.031166296505049,2.2710301981578014,0.007031433151924681
31,31,60.19679633867277,1.1428571428571428,22.113468627166583,0.7495385292966713,4.674242717374981,0.6223681870773571,2.1063732450805617,-2.582170746425083,-1.264157286189449,0.08594832573349809,0.5963619292486383,1.8811816127632315,2.319132018233231,0.025600520993336574
32,32,60.19508009153318,1.1428571428571428,22.49389272282153,0.7624330472021945,4.7978495225960955,0.6388262419810808,2.1565787796005154,-2.5322001079837175,-1.3065728973418178,0.0894123556183235,0.6121322683788496,1.7373848680410477,2.1531671679542357,0.03007878405364145
33,33,60.193363844393595,1.1428571428571428,22.861845033150303,0.7749048325283701,4.917938457262156,0.65481589786231,2.206030385747626,-2.482979870518598,-1.0456046849510736,0.07593366542701929,0.6274537809936426,1.599611570435674,2.1802463510704273,0.02396531778171092
34,34,60.191647597254004,1.1428571428571428,23.217734431909843,0.7869677440976023,5.0345620522356365,0.6703441491241211,2.254733408787235,-2.4345047137736,-1.2779160672830026,0.07284680059249649,0.6423331692281834,1.4676912501640198,1.902185487252496,0.024058122883577573
