,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.18,1.3333333333333333,1.2683058993342853,0.06502743399904798,0.057386509087184054,0.007640924911863924,-0.7941936124554738,-5.014082048007684,-3.001363089045861,0.07712895682698839,0.005853342766565613,8.01985923028983,4.031888257755861,-0.08634364582183107
1,1,60.17844393592677,1.3333333333333333,2.474755790048898,0.12688344261872053,0.1626176616198738,0.021652290086030798,-0.6938417932463858,-4.914154038867302,-3.010741466772049,0.07597147312554675,0.016586771499071336,7.880794136049632,3.955797322863927,-0.08459789233787908
2,2,60.176887871853545,1.3333333333333333,3.6223664252823085,0.1857226980999229,0.30740928849792437,0.04093107122187233,-0.5951901597955889,-4.815919035188299,-3.173779386278275,0.1093651014666408,0.03135531266539883,7.691724460562327,3.846064279418978,-0.08113945251724795
3,3,60.17533180778032,1.3333333333333333,4.714007429386284,0.24169232922935746,0.4845804768485168,0.06452114087876502,-0.4982370905645128,-4.719375422280625,-3.087541925318904,0.089082292672793,0.049426523308308865,7.463151414351524,3.719363223047297,-0.0785878737922501
4,4,60.1737757437071,1.3333333333333333,5.75240847348149,0.2949322892381268,0.6879176015966133,0.09159516449003034,-0.4029801089125984,-4.624520733962689,-2.289127534373825,0.05366029463538258,0.07016662245792457,7.20400243510259,3.6268687200735377,-0.07741500215594382
5,5,60.17221967963387,1.3333333333333333,6.740166101057114,0.3455757057577094,0.912054642582099,0.1214386647722236,-0.309415888000375,-4.531351657445337,-2.3913832182795858,0.046067713460051785,0.09302828364694447,6.921843829654472,3.471900416898385,-0.07489860006493224
6,6,60.17066361556064,1.3333333333333333,7.679750220682065,0.393749213708382,1.1523678585593697,0.1534359977311113,-0.21754025718934145,-4.439864039703867,-2.4922085124752247,0.0708094629436884,0.11753989180756033,6.623065857979469,3.3015896732016468,-0.06872124985272879
7,7,60.169107551487414,1.3333333333333333,8.573510282062918,0.43957327195248086,1.4048831167737272,0.1870580137381232,-0.1273482099174439,-4.350052895319867,-2.7634197443906494,0.11745393602513587,0.1432960910193111,6.313043764530713,3.093623652702643,-0.05796482220370573
8,8,60.16755148741419,1.3333333333333333,9.42368115089195,0.4831624645043022,1.666194377416393,0.2218512038616364,-0.038833913021951716,-4.2619124157655675,-2.714296703377972,0.1033419408562608,0.16994947003877958,5.996277820532871,2.919750440127118,-0.054905600367872565
9,9,60.16599542334096,1.3333333333333333,10.232388697175463,0.5246257870498221,1.933392009261309,0.2574281552049063,0.048009282522132324,-4.175435980096398,-2.5060846691481453,0.08687775497895345,0.1972032505959277,5.6765150543804985,2.7758228950546586,-0.05295651035988798
10,10,60.16443935926773,1.3333333333333333,11.001655111016111,0.5640669194926845,2.203999768957641,0.2934591597963524,0.13318882948731847,-4.090616167014782,-2.3552419745940245,0.09718003191550029,0.2248048593710604,5.356855009369892,2.628131500660446,-0.04583275269543862
11,11,60.162883295194504,1.3333333333333333,11.73340395914148,0.6015844852079648,2.4759194142412597,0.3296648399243463,0.2167129709411686,-4.007444768265422,-2.645326631795397,0.10479084867531796,0.2525402786207288,5.039841572465992,2.3765751703429796,-0.03879391356404227
