,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0.0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,-0.6809147359610329,13.280674377766143,6.67455324405041,-0.09558538449958576,0.005830009531789846,8.50365084149539,7.607850674134045,-0.06374806931390269
1,1.0,60.24828375286042,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,-1.0126361878609296,12.944313762783604,6.547134612383533,-0.1043900206508741,0.01652065149739119,8.549462874634756,7.5957095763339755,-0.06423588492334473
2,2.0,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,-1.3385461849643787,12.613845878560397,6.369184799257863,-0.10079399532093025,0.031230320690545023,8.604875007214781,7.5744688576074735,-0.06472415585849138
3,3.0,60.24485125858123,1.1428571428571428,4.040577796616815,0.20716485362516351,0.4153546944415859,0.05530383503894145,-1.658657563945831,12.289257708816498,6.125277913695266,-0.09894852950717847,0.04922949389819297,8.663380026522702,7.5400679732354305,-0.0653034610006309
4,4.0,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,-1.9729859176688067,11.970533442538194,6.016722129101067,-0.10031609402614827,0.06988691659744004,8.71988493641565,7.501742153059434,-0.0661300434008681
5,5.0,60.241418764302054,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.10409028409047741,-2.281549573160812,11.657654496310965,5.9145891366200605,-0.09572096804713048,0.09265744413357796,8.770474998817843,7.455923310640128,-0.06654119525051068
6,6.0,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,-2.5843695647864484,11.350599541521905,5.720958945101396,-0.09034198946604732,0.11707134144233493,8.812213101248695,7.391782032825671,-0.06669661216110304
7,7.0,60.23798627002289,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,-2.881469602707246,11.04934453634076,5.6069429981327055,-0.09085668270925884,0.1427248684773302,8.842969438501125,7.326963291007442,-0.06745708905773026
8,8.0,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894018,1.4281666092140513,0.1901581747385455,-3.1728760367324416,10.753862762374917,5.411380077560338,-0.10127881443733056,0.16927199888382133,8.861277186160606,7.240596314000781,-0.0699458763805428
9,9.0,60.23455377574371,1.1428571428571428,8.77061888329325,0.4496792460427045,1.6571931507954076,0.22065270446134827,-3.458617815680628,10.464124865876167,5.221534015805126,-0.08881522298664624,0.19641713744175154,8.866210440227533,7.143535228863151,-0.06852165870804999
