,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,-0.6444108684648953,12.568696868481055,6.62904615108284,-0.15594070512536806,0.005830009531789846,8.499500005829836,7.607585367348279,-0.06409994140844523
1,1,60.24828375286041,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,-0.958360401627667,12.250596411412129,6.395018167859923,-0.05925821988939095,0.01652065149739119,8.538002212035055,7.593196513566979,-0.06349027817151456
2,2,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,-1.2668174145582523,11.938061094634245,6.1839856779578595,-0.06674195819200701,0.031230320690545023,8.583770031694977,7.568685029657667,-0.06366069981878876
3,3,60.244851258581235,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,-1.56979375498012,11.631078913777682,6.328146831673154,-0.07808751166726857,0.04922949389819297,8.630978217548419,7.550055107395155,-0.06427648365017097
4,4,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,-1.8673038822384358,11.329635218320755,6.302718256671946,-0.15510599205936781,0.06988691659744004,8.675094535672319,7.521729540574169,-0.06995914043509796
5,5,60.24141876430206,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,-2.159364846680223,11.03371273248377,6.235745946618354,-0.06391577791897696,0.09265744413357796,8.712662149693418,7.485680879820664,-0.06359420762305347
6,6,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,-2.4459962644842737,10.743291580729508,5.591635904758752,-0.10521643823713234,0.11707134144233493,8.741114743610119,7.376642011013358,-0.06843798383194924
7,7,60.23798627002288,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,-2.727220288021859,10.458349317796989,5.396890757928041,0.0010667126177921205,0.1427248684773302,8.758619723663736,7.296983612650863,-0.05433733454968729
8,8,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,-3.003061571850041,10.178860963155234,5.495557343970892,-0.034448382398633015,0.16927199888382133,8.763945482244896,7.254845168146671,-0.05863335556308309
9,9,60.234553775743706,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,-3.2735472344468386,9.904799039776035,5.048380998829871,-0.10162503792610078,0.19641713744175154,8.756349262567701,7.109525008929468,-0.07103772588961624
10,10,60.23283752860412,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,-3.538706815818138,9.636133617086262,5.630547603722169,0.03437145020601662,0.22390871766680207,8.735482643333544,7.169362858447084,-0.04163335703275421
11,11,60.23112128146453,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,-3.79857223111435,9.3728323579656,5.16175794180207,-0.04761771820971372,0.2515335749564476,8.701312077881788,6.9966726117723335,-0.059551005517577665
12,12,60.22940503432494,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,-4.053177720409584,9.114860569630068,4.883482534645878,-0.15556743399280926,0.27911200301848677,8.654052281087695,6.851392275176688,-0.08924136608875495
13,13,60.22768878718536,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,-4.30255979481009,8.862181258237456,4.8648239928695824,-0.051414321588172385,0.3064934122159357,8.594110567089322,6.770926656639363,-0.05983837898921008
14,14,60.22597254004577,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,-4.546757179063943,8.614755187035472,4.5850588123512726,-0.06910260225312381,0.3335525180755364,8.522040508362142,6.603238331273377,-0.06540966130367966
15,15,60.224256292906176,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,-4.785810750858488,8.37254093786699,4.435833141931522,-0.02699416230622642,0.36018599668832146,8.438503517412192,6.468836105925147,-0.05039037320979733
16,16,60.22254004576659,1.1428571428571428,12.763193712817706,0.6543829349157406,3.2593364850695234,0.43397561101127385,-5.019763477000616,8.135494975834101,4.618026805870645,-0.06246406671728266,0.38630955121287003,8.344237151361314,6.4562119102404,-0.06313747064656546
17,17,60.220823798627,1.1428571428571428,13.227844752521248,0.6782061031536006,3.4748691379018384,0.4626734503212859,-5.248660346681033,7.903571716916025,4.301850457429812,-0.14664501779038108,0.4118553402925743,8.240029111239238,6.249475769590983,-0.09777981344430181
18,18,60.21910755148741,1.1428571428571428,13.669834493612106,0.700867401766284,3.6850745622664345,0.49066197740168765,-5.472548302030034,7.676723598330382,4.508864186869133,-0.2134436370888615,0.43676972502111705,8.126696055589996,6.257389780518214,-0.1290254060177468
19,19,60.21739130434783,1.1428571428571428,14.090268140665183,0.7224234958040655,3.8896033843948357,0.5178946736756643,-5.6914761661834845,7.45490115142089,4.199930554620646,-0.06532756950128338,0.4610112962269308,8.00506647526324,6.039710909562254,-0.06437560738156835
20,20,60.21567505720824,1.1428571428571428,14.490196996792218,0.7429282867301078,4.088194850892802,0.544336820232141,-5.905494569074077,7.238053076843887,3.9712901117996413,-0.04583730987295365,0.4845491483784244,7.875966985781742,5.8485794341662505,-0.05497319124329629
21,21,60.21395881006865,1.1428571428571428,14.870621092447166,0.7624330472021944,4.280664095659262,0.5699638024357354,-6.114655871175323,7.026126321835857,3.9956761611200653,-0.06771204889222115,0.5073613704084629,7.740211487882911,5.777869094372897,-0.06566726363739876
22,22,60.21224256292906,1.1428571428571428,15.232491686023227,0.7809865492810817,4.466891016125173,0.5947596288151704,-6.319014085421348,6.8190661593230395,3.6644352998018714,-0.13122275059829214,0.5294337272818607,7.5985927277943865,5.522649002687341,-0.09938358645181658
23,23,60.21052631578947,1.1428571428571428,15.576713642494315,0.7986351863860544,4.646810564194185,0.6187156383170418,-6.518624797533401,6.616816268651071,3.6080389436463634,-0.12376093888477602,0.5507585092389712,7.4518758583643425,5.407379045219112,-0.09671679436579556
24,24,60.20881006864989,1.1428571428571428,15.904147696048819,0.8154230893026395,4.8204042804042855,0.6418293730925384,-6.713545084978567,6.41931881769553,3.7271210416978118,-0.12636777940422395,0.5713335283907811,7.300793661861197,5.3930058295894625,-0.09944477706106909
25,25,60.2070938215103,1.1428571428571428,16.215612602373405,0.8313922365325568,4.987692920235169,0.664103596701674,-6.903833434791284,6.226514546128437,3.546301004710539,-0.09209101794327434,0.5911612447594707,7.146043146472451,5.209057507090572,-0.08042699178115517
26,26,60.20537757437071,1.1428571428571428,16.51188718596871,0.8465825592618379,5.148730039481364,0.6855454400156429,-7.089549660482475,6.038342849606693,3.2889844449941474,-0.06782885980871622,0.610248005991269,6.988283272415077,4.9744042982209,-0.06616559675593629
27,27,60.203661327231124,1.1428571428571428,16.79371228761626,0.8610320412095923,5.303596421480123,0.7061656592108337,-7.270754818261893,5.854741864657953,3.1825740711716177,-0.09638909274856111,0.6286033868492922,6.828133601155777,4.828139482581228,-0.0841969873302611
28,28,60.201945080091534,1.1428571428571428,17.061792616866313,0.874776813607088,5.45239524297603,0.7259779921111806,-7.447511122795625,5.675648554037016,2.9831380065434843,-0.20360362287896727,0.646239616252548,6.666173693389224,4.621114279563353,-0.15406222140527862
29,29,60.20022883295194,1.1428571428571428,17.316798514178803,0.8878512455446512,5.595247887742358,0.7449986007783221,-7.619881862713562,5.500998792335343,3.339544708563902,-0.11528589962317426,0.6631710810896543,6.5029431089068925,4.779077070939057,-0.09786358189164737
30,30,60.19851258581236,1.1428571428571428,17.559367627123653,0.9002880299122932,5.732290327957218,0.7632455896974336,-7.787931316082353,5.330727451625883,2.8447097843178337,-0.04669495867404283,0.6794138973251156,6.338941884949488,4.373461139493123,-0.05210209542600671
31,31,60.19679633867277,1.1428571428571428,17.79010650483183,0.9121182651489648,5.863670002922675,0.7807385901835068,-7.951724666047322,5.164768486935589,2.945262030778384,-0.05900666372304908,0.6949855400526741,6.174631389649515,4.3690883443699065,-0.06039591469279407
32,32,60.19508009153318,1.1428571428571428,18.00959211468412,0.923371533004852,5.989543133169039,0.7974984027584892,-8.111327916845879,5.003055021343572,2.5172052534446765,-0.14195280829754076,0.7099045251522424,6.010435464215147,3.995566158408937,-0.11921180649002368
33,33,60.193363844393595,1.1428571428571428,18.218373285030104,0.93407597251116,6.110072415438303,0.8135466902418965,-8.266807810386023,4.845519430505485,2.891164144206093,-0.13794143627143818,0.7241901360901557,5.846741782003005,4.193582332767311,-0.11742668003922443
34,34,60.191647597254004,1.1428571428571428,18.416972077544898,0.9442583503423481,6.225425050608642,0.8289057151720093,-8.418231743573589,4.692093426418742,2.5703133409431533,-0.10300519940686925,0.737862190180921,5.683903364947926,3.892277035274283,-0.0926654800926875
35,35,60.18993135011441,1.1428571428571428,18.60588509265528,0.9539441277467579,6.335771062409953,0.8435981159454474,-8.565667686567856,4.542708140247376,2.620574066656167,-0.10134297272090809,0.7509408393146833,5.522240208260341,3.8640641035665158,-0.09193311820840606
36,36,60.18821510297483,1.1428571428571428,18.78558471129943,0.9631575242129965,6.441281869880912,0.8576467167420374,-8.709184102134282,4.397294204037117,2.5840881906346036,-0.027213389760527562,0.7634464007591453,5.3620409731470335,3.773771955336036,-0.03581163507435069
37,37,60.18649885583524,1.1428571428571428,18.956520276125296,0.9719215780312738,6.5421290810119475,0.8710743669002384,-8.848849866254337,4.2557818311537154,2.463791407398497,-0.11929242148678298,0.7753992141773245,5.203564714778167,3.6203804102887487,-0.10677518330314131
38,38,60.18478260869565,1.1428571428571428,19.119119215081312,0.9802582039011268,6.638483478977533,0.8839038059355415,-8.98473419014223,4.118100895298182,2.789997546383649,-0.06301919983431326,0.7868195214717638,5.047042619032224,3.818236527091574,-0.06313477971613177
39,39,60.183066361556065,1.1428571428571428,19.27378811020887,0.988188247729585,6.7305141758485405,0.8961575508585782,-9.11690654381303,3.9841810079488393,2.051867395197249,-0.10164418738267678,0.7977273664791468,4.892679726840139,3.176797811200263,-0.09394107541616926
40,40,60.181350114416475,1.1428571428571428,19.42091371430922,0.9957315387567948,6.818387911746713,0.9078578028586226,-9.245436581329592,3.8539515941027336,2.128458162933833,-0.06208913995908727,0.8081425119032919,4.740656629405949,3.1807706902874866,-0.06237159812445057
41,41,60.17963386727689,1.1428571428571428,19.56086391802691,1.002906939139449,6.9022684801078835,0.9190263707782788,-9.370394067852894,3.7273419661896234,2.106840743173133,-0.09762673817848011,0.8180843711950592,4.591131121293275,3.108556055483513,-0.09142971512359226
42,42,60.1779176201373,1.1428571428571428,19.69398866976805,1.009732391116003,6.982316262101701,0.929684609122186,-9.491848808606207,3.604281396047515,2.098081667932461,-0.08848405933736814,0.8275719533699193,4.4442398014717766,3.0490640807878897,-0.08418668852543347
43,43,60.17620137299771,1.1428571428571428,19.820620850753574,1.016224961871618,7.058687855351653,0.939853368621666,-9.609870579854519,3.484699184856055,2.3422992319793723,-0.1723308828821546,0.8366238190023724,4.300099614990217,3.203459081948419,-0.15456053509483936
44,44,60.174485125858126,1.1428571428571428,19.941077107395706,1.0224008862150118,7.1315357839438285,0.9495529576228368,-9.724529061989951,3.368524730934519,1.8382864030187518,-0.13760062800438622,0.8452580458550288,4.1588093300715405,2.7319269619236204,-0.1261436483823363
45,45,60.172768878718536,1.1428571428571428,20.05565864307891,1.0282756071739383,7.201008278335928,0.9588031127818386,-9.835893774806316,3.2556875953242415,2.014636561950889,-0.0763790816571408,0.8534922027925499,4.020450947178615,2.8348878839871308,-0.07450118681025363
46,46,60.171052631578945,1.1428571428571428,20.164651971325252,1.0338638146108001,7.2672491152058125,0.9676229777409158,-9.944034015032411,3.146117565081097,1.6639779255692155,-0.10149141918541771,0.8613433307998579,3.8850910380270927,2.4888943966415145,-0.09623216476387551
47,47,60.16933638443936,1.1428571428571428,20.268329632227438,1.0391794819549567,7.330397508534485,0.976031088626284,-10.049018796185916,3.039744714216308,2.0351205463527977,-0.17824399299537497,0.8688279300728577,3.7527820136857013,2.7668250024488743,-0.1632008358210004
48,48,60.16762013729977,1.1428571428571428,20.366950873941004,1.0442359011435762,7.390588044322358,0.9840453653557028,-10.15091679080049,2.9364994622333995,1.8850138137072037,-0.07742569903745888,0.8759619522807488,3.623563321838845,2.595542190585416,-0.07570599460646425
49,49,60.16590389016018,1.1428571428571428,20.460762300939745,1.049045715858401,7.447950652307903,0.9916831078728567,-10.249796275069723,2.836312630216442,1.5303338310634351,-0.11182805572634846,0.882760797214006,3.497462574028469,2.2434987156029145,-0.10616930785322887
50,50,60.1641876430206,1.1428571428571428,20.549998490655348,1.0536209531415388,7.502610608910279,0.998960996539163,-10.34572507593856,2.739115494437838,1.523908711998312,-0.09508491812332265,0.8892393131331529,3.3744966042796705,2.198376500340024,-0.09159334816975255
51,51,60.162471395881006,1.1428571428571428,20.634882580043158,1.0579730534693321,7.5546885663663,1.0058950960133122,-10.438770520670104,2.644839837458557,1.8639641831770248,-0.013422504130833346,0.8954118002221897,3.254672460961692,2.465279346478193,-0.018666437746222897
52,52,60.160755148741416,1.1428571428571428,20.71562682354079,1.0621128993595086,7.6043006036894285,1.0125008620363805,-10.528999388902838,2.553417996704166,1.4157108034674737,-0.11130065690656554,0.9012920166284579,3.1379883340772787,2.0274646756751165,-0.10658840806954563
53,53,60.15903890160183,1.1428571428571428,20.792433123814792,1.0660508425831425,7.651558295655411,1.0187931506171597,-10.616477867205653,2.46478291051222,1.3308321428859293,-0.12566958700582775,0.9068931866390914,3.0244344204248375,1.9157749131254778,-0.11988688874362073
54,54,60.15732265446224,1.1428571428571428,20.86549353662246,1.0697967300494766,7.696568796525159,1.0247862291797294,-10.70127150613387,2.3788681616421226,1.2330336544593146,-0.07834054073763141,0.9122280106041865,2.9139937292386944,1.7930444059889359,-0.0770433434324465
55,55,60.15560640732266,1.1428571428571428,20.93499075105128,1.073359928428322,7.739434935659117,1.0304937892943633,-10.78344517977503,2.295608018265005,1.2183319500964074,-0.07974015765799258,0.9173086762693993,2.8066428310394813,1.7471422843765743,-0.07840231220736364
56,56,60.15389016018307,1.1428571428571428,21.00109854633681,1.0767493475716128,7.78025532256611,1.035928960664619,-10.86306304777629,2.2149374724393933,1.6828140487864518,-0.09395356031449698,0.9221468712267513,2.7023525524686876,2.1445227815155206,-0.09158743313025464
