,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.1053898291222923,0.0374673137348504,0.03447159273291364,0.002995721001936759,0.15859695357800518,-4.679050669483598,-2.801106926027641,0.10201155023836783,0.002913227560325276,8.43731483037126,7.582984108559093,-0.06307901740672019
1,1,60.24828375286041,1.1428571428571428,2.174540669158427,0.07370630282100829,0.09952846859074017,0.008649426963181753,0.23658627835576596,-4.601438569750704,-2.2527996732202293,0.051829595910990456,0.008411246906461277,8.365642915240096,7.530337315100098,-0.06259078710165719
2,2,60.246567505720826,1.1428571428571428,3.2086405754852376,0.10875723653033191,0.19163209964377262,0.016653605477299473,0.3137028847999268,-4.524694967117049,-2.6124726269441956,0.0857565079496192,0.016195013629068583,8.26509686993256,7.447716803802729,-0.061143163946049024
3,3,60.244851258581235,1.1428571428571428,4.208838654391463,0.14265906395091718,0.3075627179252317,0.026728445669458072,0.3899470558406115,-4.4488195800211905,-2.380112203965945,0.11290610738123874,0.025992422030816947,8.139699489159819,7.353570110985618,-0.05897455187751413
4,4,60.243135011441645,1.1428571428571428,5.176246339980737,0.17544945726786962,0.4443926539843731,0.03861952120872827,0.46531927060455835,-4.37381193165387,-2.638225209848466,0.08650746914451446,0.03755605194178519,7.993062842630464,7.228316011024784,-0.05792537591814961
5,5,60.24141876430206,1.1428571428571428,6.111938629212716,0.2071648536251636,0.5994618456859571,0.05209566192357965,0.5398202039474942,-4.299671350423084,-1.7339182062324765,0.08389611881687298,0.05066109894447513,7.828426248105027,7.139782167101593,-0.05609101061797651
6,6,60.23970251716247,1.1428571428571428,7.016955276454752,0.23784049561510665,0.7703553424700991,0.0669469988309647,0.6134507258337418,-4.226396970573032,-1.8885308701889203,0.059162571667492614,0.06510347323710741,7.648690873617536,6.994719979242412,-0.05557161421159717
7,7,60.23798627002288,1.1428571428571428,7.892301948871493,0.26751047044040144,0.9548826443030282,0.0829831686074723,0.6862119005601741,-4.1539877329545005,-2.271739137674089,0.08150227915681985,0.0806980535484162,7.456451262570995,6.815618383518724,-0.05185501495153474
8,8,60.236270022883296,1.1428571428571428,8.738951343936312,0.2962077477923224,1.1510587274437372,0.10003166465161319,0.7581049858300659,-4.08244238594746,-2.3422304313557296,0.11343510348915675,0.09727708360688227,7.254024050064875,6.644876441886591,-0.04634366834599991
9,9,60.234553775743706,1.1428571428571428,9.557844270306356,0.32396421648709794,1.3570866210136663,0.11793632291716877,0.8291314316737353,-4.011759486535205,-2.0238974602440063,0.07927273624019904,0.11468869966982678,7.043474115639203,6.508043349916489,-0.04717991119997911
10,10,60.23283752860412,1.1428571428571428,10.349890693262289,0.3508107199012096,1.5713414092690048,0.1365559316458711,0.8992928792228572,-3.9419374015241537,-2.2813577789939643,0.08279087528684226,0.13279557854000865,6.826638396436261,6.299353761473013,-0.0441264380478119
11,11,60.23112128146453,1.1428571428571428,11.115970745874447,0.3767770902449835,1.792355544513903,0.1557629550000853,0.9685911593360075,-3.8729743089115365,-2.0375337639795266,0.08179065703473043,0.1514736963457499,6.605147565415477,6.151472659691359,-0.041544360343719555
12,12,60.22940503432494,1.1428571428571428,11.85693570701903,0.40189218171256014,2.01880536482775,0.17544236139871322,1.0370282910785455,-3.8048681993975153,-2.0912199118048314,0.09750680619180496,0.1706111891410602,6.380445761556363,5.957619986699333,-0.036081336096322233
13,13,60.22768878718536,1.1428571428571428,12.573608947331094,0.42618390254507854,2.2494987192750124,0.19549054809781652,1.1046064800612765,-3.737616878039862,-1.92000690923666,0.07876550294583229,0.1901073071001809,6.1538085428045415,5.8009679022719,-0.036503990644995696
14,14,60.22597254004577,1.1428571428571428,13.266786844145532,0.4496792460427045,2.483363611081107,0.2158143542366102,1.1713281166394474,-3.6712179660451927,-2.0977441344992576,0.11065929617271042,0.20987145474142097,5.926359217728248,5.5752477782756005,-0.026997424552829313
15,15,60.224256292906176,1.1428571428571428,13.93723966644271,0.4724043205599635,2.719437776446834,0.2363301551942361,1.2371957739718553,-3.605668902700754,-1.8399689143132614,0.060702879499219264,0.2298223102227103,5.6990836983345785,5.4407461636640075,-0.03500267233049877
16,16,60.22254004576659,1.1428571428571428,14.585712430782143,0.4943843785177098,2.956859123287104,0.2569630316774398,1.3022122059485053,-3.5409669474367744,-1.7857181643065045,0.07915859532936498,0.24988701731018464,5.472844004144104,5.264625174152142,-0.02789750280183178
17,17,60.220823798627,1.1428571428571428,15.212925729175316,0.5156438444639696,3.1948569602631247,0.2776460074879492,1.3663803449845968,-3.477109182021487,-1.997351251043722,0.11090297959170936,0.2700004441352335,5.248390536330724,5.018437205675841,-0.016455917393221525
18,18,60.21910755148741,1.1428571428571428,15.819576529817619,0.5362063422148411,3.43274395207329,0.298319350404676,1.4297032996897219,-3.4140925128816058,-1.672532432681617,0.09526665090431319,0.2901045033283717,5.0263732304184465,4.919455029246593,-0.01748464516981224
19,19,60.21739130434783,1.1428571428571428,16.406338951569154,0.556094721105609,3.6699087421156866,0.31892993106321227,1.4921843524080547,-3.351913673549256,-2.0508855894560973,0.10262212690492767,0.31014752855332967,4.807351686596741,4.615993083750778,-0.012019968457550448
20,20,60.21567505720824,1.1428571428571428,16.97386501304505,0.5753310813812461,3.905809188370327,0.33943063512660554,1.5538269566433005,-3.2905692272249265,-1.5797832884398844,0.03548678647158354,0.3300837028649355,4.591804368104091,4.5788289144223695,-0.030867187078848245
21,21,60.21395881006865,1.1428571428571428,17.522785357147676,0.5939367987545149,4.139966162704922,0.35977982441992024,1.6146347343619638,-3.23005556946121,-2.0532302230084065,0.07822827311898539,0.3498725346824626,4.380136950252939,4.2312619870170725,-0.013953067518995641
22,22,60.21224256292906,1.1428571428571428,18.05370995184586,0.6119325481589581,4.3719578678145945,0.3799408430492856,1.6746114731867046,-3.1703689309554584,-1.7426729020095788,0.08232621315451549,0.36947837750872276,4.172689895481398,4.156485264924439,-0.009659061845797089
23,23,60.21052631578947,1.1428571428571428,18.567228767979827,0.6293383267231751,4.601414629691365,0.3998815648464052,1.7337611234795602,-3.111505380453239,-1.7027813432153316,0.060742956941028936,0.38886998983663673,3.969745323241232,3.990570035650408,-0.01522314703361334
24,24,60.20881006864989,1.1428571428571428,19.063912434845058,0.6461734759919103,4.828014126909168,0.41957397877410674,1.792087795320807,-3.053460827754151,-1.5037789553952186,0.08073184370627207,0.4080201319715098,3.7715332375309165,3.893362280184573,-0.004686833307977846
25,25,60.2070938215103,1.1428571428571428,19.544312874283552,0.6624567034186489,5.051477021128331,0.43899380919948605,1.8495957553883446,-2.996231026817675,-1.7448081147911632,0.06178850393423474,0.4269051967607484,3.5782371693956003,3.6182886048483853,-0.010048856830092219
26,26,60.20537757437071,1.1428571428571428,20.008963913987092,0.6782061031536007,5.271562956091483,0.45812016819044965,1.9062894237400485,-2.939811578965279,-1.717781588991052,0.09799265741461394,0.4455048714651442,3.389999286705377,3.456270845877496,0.008411736773470659
27,27,60.203661327231124,1.1428571428571428,20.458381880694063,0.6934391761501731,5.48806689502094,0.4769352372207163,1.9621733705061928,-2.884197936172117,-1.5656311982428228,0.07619256478741399,0.46380182822879423,3.2069250189472944,3.3561076449693883,0.001256760993688634
28,28,60.201945080091534,1.1428571428571428,20.89306617393893,0.7081728496122757,5.700815768754015,0.4954239758792011,2.0172523124937225,-2.8293854044456612,-1.6094781665648705,0.07501304450963087,0.48178144080978136,3.0290872405840954,3.169948936158902,0.0032012116009297042
29,29,60.20022883295194,1.1428571428571428,21.313499820992007,0.7224234958040656,5.909665409184424,0.5135738553736562,2.0715311097103672,-2.775369147285267,-1.2630109391164046,0.09551042000766063,0.4994315254223487,2.8565300527152084,3.1802023584990566,0.01588409723661697
30,30,60.19851258581236,1.1428571428571428,21.720150013606112,0.7362069502430375,6.114497744630638,0.531374614796823,2.1250147618108173,-2.7221441892192333,-1.9837859725835294,0.09362867663598173,0.5167421037147742,2.6892721992866533,2.6540930654215726,0.01766534586578788
31,31,60.19679633867277,1.1428571428571428,22.113468627166583,0.7495385292966713,6.315218235639893,0.5488180382874167,2.177708404470735,-2.6697054194122494,-1.6690729143374883,0.11561640873680723,0.533705186066692,2.5273101509130544,2.6592604947607574,0.0320667402068393
32,32,60.19508009153318,1.1428571428571428,22.49389272282153,0.7624330472021945,6.511753531472928,0.5658977513691601,2.2296173056937096,-2.618047595341899,-1.425873138740541,0.06971136409972267,0.5503145735363577,2.370620886463156,2.63892195328995,0.009780558280570412
33,33,60.193363844393595,1.1428571428571428,22.861845033150303,0.7749048325283701,6.704049329111436,0.5826090348898613,2.2807468620553717,-2.5671653465347832,-1.3068680620399453,0.07260818866772212,0.5665656769233026,2.219164399908177,2.559449222524227,0.01358762861710349
34,34,60.191647597254004,1.1428571428571428,23.217734431909843,0.7869677440976023,6.8920684180988765,0.598948655110162,2.331102594890666,-2.5170531783621497,-1.6524215682032217,0.09070816690859296,0.5824553515359431,2.0728859575020717,2.216440788799056,0.026293747769642852
35,35,60.18993135011441,1.1428571428571428,23.56195638838093,0.7986351863860545,7.075788895875965,0.6149147086089659,2.380690146428055,-2.4677054758861505,-1.3336481335989303,0.07125883318415127,0.5979817463678624,1.9317181281528313,2.263197864241531,0.017058650948436973
36,36,60.18821510297483,1.1428571428571428,23.894893406819183,0.8099201244188899,7.255202539514355,0.6305064807805006,2.429515275877314,-2.419116507753838,-1.4711166512474394,0.09001775136907586,0.6131441664914526,1.7955826078190285,2.0432520985678284,0.030604772749851374
37,37,60.18649885583524,1.1428571428571428,24.216915451499133,0.8208350981771901,7.4303133208943,0.6457243167972446,2.4775838554738083,-2.371280430133238,-1.3211021331418493,0.10187943023209911,0.627942947574146,1.6643918569215563,2.0030140130081633,0.04032601411946532
38,38,60.18478260869565,1.1428571428571428,24.528380357823718,0.8313922365325567,7.60113605342262,0.6605695040042373,2.5249018664841305,-2.324191290687949,-1.1072078680608444,0.08178579838691302,0.6423793415112449,1.5380505680743146,2.0114343790194047,0.029806648677143586
39,39,60.183066361556065,1.1428571428571428,24.82963422995598,0.8416032707248833,7.767695159353258,0.675044164794245,2.571475395182876,-2.277843032582494,-1.0776157391727548,0.058022992784567684,0.6564554122509927,1.416456979902387,1.9081094727376724,0.016253343339151776
40,40,60.181350114416475,1.1428571428571428,25.121011825414847,0.8514795473982739,7.930023547661083,0.6891511590904495,2.6173106287976644,-2.2322294985156477,-0.9519841369057813,0.10467544992776023,0.6701739409626067,1.2995040513094864,1.8730775963064041,0.04918656295639556
41,41,60.17963386727689,1.1428571428571428,25.402836927062395,0.8610320412095922,8.08816159323636,0.7028939956343139,2.6624138514337314,-2.1873444347780824,-1.0234842239310593,0.0856687114803023,0.6835383397670172,1.187080509275869,1.7097343555135016,0.038443112455347275
42,42,60.1779176201373,1.1428571428571428,25.675422702895883,0.8702713670236539,8.242156208918463,0.7162767513415538,2.706791439979206,-2.1431814953256634,-0.9636072424562547,0.07423982291132614,0.6965525733135411,1.0790717821021825,1.6390403854292472,0.032424405832028096
43,43,60.17620137299771,1.1428571428571428,25.939072054044413,0.8792077917086134,8.392060002577919,0.7293039980491554,2.750449859998172,-2.0997342458672907,-1.097350281059617,0.08235158872182957,0.7092210875440738,0.9753608289432243,1.4355300302516107,0.03992317756274743
44,44,60.174485125858126,1.1428571428571428,26.194077951356903,0.8878512455446511,8.537930512091002,0.7419807360315672,2.7933956616155164,-2.056996167960956,-1.1096379706410087,0.08544471621130256,0.7215487450400518,0.8758288755056172,1.319281657673065,0.04395378478802424
45,45,60.172768878718536,1.1428571428571428,26.440723760955404,0.8962113332586398,8.679829511634715,0.7543123337149268,2.8356354753953372,-2.01496066311313,-1.3835716612655702,0.11232014381867828,0.7335407663967739,0.7803560648948007,1.0137341854832225,0.06545489070849454
46,46,60.171052631578945,1.1428571428571428,26.679283559115493,0.9042973446970514,8.817822383266936,0.7663044730648298,2.8771760082231257,-1.973621056878816,-1.3635855066893576,0.08350483187402613,0.7452026771150325,0.6888220317850797,0.9237069307599746,0.046032757604898666
47,47,60.16933638443936,1.1428571428571428,26.91002243682367,0.9121182651489647,8.951977548249866,0.7779631001660351,2.9180240391910583,-1.9329706029558302,-1.0308180004342526,0.08134896235811873,0.7565402595417099,0.6011064073505177,1.0736824980723787,0.046069130696364126
48,48,60.16762013729977,1.1428571428571428,27.13319679435017,0.9196827853306443,9.082365953028592,0.7892943805519195,2.9581864154935023,-1.8930024872683138,-0.872000431276887,0.06211301754788234,0.7675595094293295,0.5170892617198111,1.100332475917998,0.03290120148692339
49,49,60.16590389016018,1.1428571428571428,27.349054626164527,0.9269993110427859,9.209060605193633,0.8003046588777452,2.997670048335399,-1.8537098320406953,-1.1958079482179418,0.11826650975088615,0.778266596719805,0.43665149009907767,0.7574707953946033,0.07794919538461403
50,50,60.1641876430206,1.1428571428571428,27.55783579651051,0.9340759725111598,9.332136155139683,0.8110004225651091,3.036481908859301,-1.815085699848229,-1.2519612884669407,0.09651549025224693,0.7886678301900147,0.3596751481578988,0.6215586272843121,0.06268610025046464
51,51,60.162471395881006,1.1428571428571428,27.75977230594662,0.9409206334210317,9.451668519485137,0.821388269075576,3.0746290240950547,-1.777123097650768,-0.893875583684367,0.08652792005847676,0.7987696256266246,0.28604374174752145,0.8180313160441997,0.05632539623215104
52,52,60.160755148741416,1.1428571428571428,27.95508854914836,0.9475408996553997,9.567734542640899,0.8314748764996365,3.112118472932801,-1.7398149807973384,-1.1196560296183877,0.09049359232238263,0.8085784772249399,0.21564247556935134,0.5520242514463258,0.06100415703532766
53,53,60.15903890160183,1.1428571428571428,28.144001564258744,0.9539441277467576,9.680411693214648,0.8412669771730085,3.1489573821281702,-1.7031542570037361,-0.8861996933843264,0.07251504722338709,0.8181009319317383,0.1483584649761467,0.659855693611956,0.04776287392659624
54,54,60.15732265446224,1.1428571428571428,28.32672127406411,0.9601374330517778,9.78977779221035,0.8507713340560746,3.1851529223392294,-1.667133790295816,-0.7409523568535636,0.08878525453825947,0.827343566475147,0.08408091470922496,0.7014671543821601,0.06248162985888646
55,55,60.15560640732266,1.1428571428571428,28.503450719263256,0.9661276976579939,9.895910770234245,0.8599947196340986,3.2207123042009567,-1.6317464049150354,-0.6946473992323066,0.085280041036917,0.8363129668458872,0.022701268019679643,0.6652597439745681,0.060916632217780174
56,56,60.15389016018307,1.1428571428571428,28.674386284089124,0.9719215780312735,9.998888451149574,0.8689438971159457,3.2556427744405703,-1.596984889186026,-0.7953786865134704,0.08439212737243462,0.845015710013727,-0.03588667070199203,0.5078380848797147,0.0614616597864322
57,57,60.15217391304348,1.1428571428571428,28.83971791453369,0.9775255124125763,10.09878835983467,0.8776256037274813,3.289951612034381,-1.5628419993398701,-0.7287561610808124,0.08288353493879352,0.8534583476809305,-0.0917866369507716,0.49370600772709206,0.0614232567421468
58,58,60.15045766590389,1.1428571428571428,28.999629329418614,0.9829457279722171,10.195687551894105,0.8860465359127817,3.323646124414381,-1.529310463290301,-0.8441518197197517,0.10865947690297251,0.8616473918909844,-0.14509982821852518,0.3259619785168758,0.0848322737017928
59,59,60.1487414187643,1.1428571428571428,29.15429822454617,0.9881882477295848,10.289662463351833,0.8942133362718572,3.3567336437214657,-1.4963829843602783,-1.018954183192311,0.09472595064208278,0.8695893023260188,-0.19592484486642148,0.10678720001717079,0.07408359085483811
60,60,60.14702517162471,1.1428571428571428,29.30389647015731,0.9932588972460058,10.380788778519927,0.9021325820779124,3.389221523114161,-1.4640522449581583,-0.9789432677107524,0.059792460559870975,0.8772904751402678,-0.24435764765514767,0.07540973119674255,0.0446557707451614
61,61,60.14530892448513,1.1301587301587301,29.43630819270379,0.9977470076122468,10.468758296690783,0.909777489441391,3.422478398574569,-1.4309562290305555,-0.6196730059865319,0.0749233200408872,0.8847248639945774,-0.2889722976018053,0.3293868107490223,0.05895947867722809
62,62,60.14359267734554,1.1174603174603173,29.552096833430834,1.0016716767332723,10.553305030445578,0.917124942978476,3.4564260498588517,-1.39717277847895,-1.1110592958972765,0.08981255229911778,0.8918699900355561,-0.3296257122275914,-0.16769167400317708,0.0732282286609439
63,63,60.14187643020595,1.1047619047619046,29.651807361782488,1.00505137641025,10.63420125442276,0.9241551524330693,3.4909943796734844,-1.3627716515451915,-0.6860062227064256,0.11654133437788428,0.8987066079731878,-0.3662058234986081,0.15466105822617826,0.0982981206397134
64,64,60.140160183066364,1.092063492063492,29.735966880979305,1.007903972866674,10.711253888894493,0.9308513383949419,3.5261205289540687,-1.3278154032514422,-0.8761890179445064,0.09458003416218386,0.9052184004533883,-0.39862846260852614,-0.07153942175157846,0.07959113901608914
