,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,0.2573342366403164,-5.019089795800458,-2.524968049275156,0.06596842739370334,0.005830009531789846,8.396963041933988,7.554217377306053,-0.06280620905066782
1,1,60.24828375286041,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,0.3828176298419361,-4.89426833585227,-2.737101512125917,0.0902634113681966,0.01652065149739119,8.25475787657559,7.442327946901465,-0.06102008341018653
2,2,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,0.506179237014015,-4.771557469371301,-2.003892057417911,0.08850773725355143,0.031230320690545023,8.061923285324399,7.312974982206908,-0.05881220204291453
3,3,60.244851258581235,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,0.6274209251297957,-4.650955339232321,-2.238902906597451,0.06203300223606156,0.04922949389819297,7.8294219116396935,7.128303584579447,-0.05737842166595531
4,4,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,0.746545631772344,-4.532459023348312,-2.2925070840743578,0.08666235668775002,0.06988691659744004,7.566541678344058,6.921035744049229,-0.05306269601030734
5,5,60.24141876430206,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,0.863557359133571,-4.416064540639142,-2.276783518375902,0.08463481556286734,0.09265744413357796,7.281125275132809,6.696931656482522,-0.04982988930649963
6,6,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,0.9784611661389775,-4.301766858865741,-2.0858468408533337,0.06769820053076359,0.11707134144233493,6.979769570008382,6.47782880708417,-0.04819463511637489
7,7,60.23798627002288,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,1.0912631587240984,-4.189559904301365,-2.069558641736413,0.1189037583239072,0.1427248684773302,6.667998806471876,6.231335604091114,-0.03751905769952486
8,8,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,1.2019704782972873,-4.079436573209638,-2.0304654726533977,0.09553208982848727,0.16927199888382133,6.3504149575841495,5.980900242331431,-0.036631301213335424
9,9,60.234553775743706,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,1.3105912884279203,-3.971388745083959,-1.5491839211910774,0.09328061553570688,0.19641713744175154,6.030828179261301,5.813650193252835,-0.03275491536543397
10,10,60.23283752860412,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,1.4171347598108675,-3.865407297606094,-1.9780784005154484,0.0845459490799172,0.22390871766680207,5.712369930598918,5.465725166631954,-0.030398849330324728
11,11,60.23112128146453,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,1.5216110535518634,-3.761482123270432,-2.1077932834663304,0.07869108471980635,0.2515335749564476,5.397591001814249,5.168136403751548,-0.02778010076824606
12,12,60.22940503432494,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,1.6240313028379472,-3.6596021476180685,-1.771551227824908,0.07958024426280019,0.27911200301848677,5.088546404591588,4.99389247157781,-0.02360882660568513
13,13,60.22768878718536,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,1.7244075930522573,-3.559755349017424,-2.0188724075231868,0.10226629044340907,0.3064934122159357,4.786868830001731,4.661119058224429,-0.012736283816217303
14,14,60.22597254004577,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,1.8227529403977982,-3.461928779926682,-1.5995766934090438,0.08816825366020353,0.3335525180755364,4.4938321611794585,4.540337584947655,-0.012951571293894466
15,15,60.224256292906176,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,1.9190812691058934,-3.366108589565653,-1.5995582674080966,0.1020764852747158,0.36018599668832146,4.210406337598972,4.294972635748023,-0.0039009333676485666
16,16,60.22254004576659,1.1428571428571428,12.763193712817706,0.6543829349157406,3.2593364850695234,0.43397561101127385,2.0134073873026015,-3.27228004792246,-1.7730060929515012,0.08237644142128353,0.38630955121287003,3.93730470159653,3.9872948593097295,-0.007184198950111902
17,17,60.220823798627,1.1428571428571428,13.227844752521248,0.6782061031536006,3.4748691379018384,0.4626734503212859,2.105746961609478,-3.1804275710178853,-1.5012274968845274,0.08328272953506133,0.4118553402925743,3.6750248127045664,3.859447123972515,-0.0030828428268766875
18,18,60.21910755148741,1.1428571428571428,13.669834493612106,0.700867401766284,3.6850745622664345,0.49066197740168765,2.1961164905639485,-3.0905347473448863,-1.417642881706871,0.06314948522812003,0.43676972502111705,3.4238835887180814,3.6688709178405667,-0.008217904040626608
19,19,60.21739130434783,1.1428571428571428,14.090268140665183,0.7224234958040655,3.8896033843948357,0.5178946736756643,2.2845332769430016,-3.0025843654005735,-1.6456204924342188,0.11227535505808905,0.4610112962269308,3.1840475218790214,3.3448458441987987,0.01750134708324174
20,20,60.21567505720824,1.1428571428571428,14.490196996792218,0.7429282867301078,4.088194850892802,0.544336820232141,2.371015399075027,-2.916558442220496,-1.6283033524482349,0.09102428706520005,0.4845491483784244,2.9555586221053565,3.135301189799551,0.011342978998797257
21,21,60.21395881006865,1.1428571428571428,14.870621092447166,0.7624330472021944,4.280664095659262,0.5699638024357354,2.455581681231056,-2.8324382528333025,-1.29991488980008,0.07332812538307643,0.5073613704084629,2.7383566550184417,3.09109076165526,0.0058910724655646465
22,22,60.21224256292906,1.1428571428571428,15.232491686023227,0.7809865492810817,4.466891016125173,0.5947596288151704,2.538251663184665,-2.7502043605382998,-1.094818589262192,0.0876340412578891,0.5294337272818607,2.532298169095769,3.0029394771194635,0.01648658060155183
23,23,60.21052631578947,1.1428571428571428,15.576713642494315,0.7986351863860544,4.646810564194185,0.6187156383170418,2.619045569030254,-2.6698366479249724,-1.4291092821695495,0.10115630485596494,0.5507585092389712,2.3371727422111768,2.633126797553011,0.02715829149899325
24,24,60.20881006864989,1.1428571428571428,15.904147696048819,0.8154230893026395,4.8204042804042855,0.6418293730925384,2.6979842753547256,-2.5913143485321033,-1.1293510085210734,0.08610963560273799,0.5713335283907811,2.1527168219653676,2.6183405176066956,0.021950694158210767
25,25,60.2070938215103,1.1428571428571428,16.215612602373405,0.8313922365325568,4.987692920235169,0.664103596701674,2.7750892788511727,-2.5146160790625594,-1.2894552054893982,0.0773572286582036,0.5911612447594707,1.9786254854794108,2.3503458465154363,0.019744244602084283
26,26,60.20537757437071,1.1428571428571428,16.51188718596871,0.8465825592618379,5.148730039481364,0.6855454400156429,2.850382663467821,-2.4397198720623736,-1.0413277856217151,0.08645948518826163,0.610248005991269,1.8145624018476183,2.3318398941679654,0.02798855812616243
27,27,60.203661327231124,1.1428571428571428,16.79371228761626,0.8610320412095923,5.303596421480123,0.7061656592108337,2.923887067183939,-2.366603208969753,-0.8101265932307644,0.05313881478097304,0.6286033868492922,1.660168243416658,2.3183143222624714,0.00979676177129184
28,28,60.201945080091534,1.1428571428571428,17.061792616866313,0.874776813607088,5.45239524297603,0.7259779921111806,2.99562564850242,-2.295243053443974,-1.1585839816625754,0.09005933237116182,0.646239616252548,1.5150677597800537,1.944569451280329,0.03571441410315397
29,29,60.20022883295194,1.1428571428571428,17.316798514178803,0.8878512455446512,5.595247887742358,0.7449986007783221,3.0656220527456313,-2.2256158848931173,-0.7591622183346081,0.10416583808026125,0.6631710810896543,1.3788757002461038,2.060933167158118,0.047670464248143196
30,30,60.19851258581236,1.1428571428571428,17.559367627123653,0.9002880299122932,5.732290327957218,0.7632455896974336,3.133900378245791,-2.1576977321057234,-0.992587513285681,0.0663099654397703,0.6794138973251156,1.2512017460428533,1.7663480273331844,0.024675020483088
31,31,60.19679633867277,1.1428571428571428,17.79010650483183,0.9121182651489648,5.863670002922675,0.7807385901835068,3.200485142512033,-2.0914642069043143,-1.0536055834842184,0.07031673708723929,0.6949855400526741,1.1316545921733194,1.5899331758724635,0.02948197886079263
32,32,60.19508009153318,1.1428571428571428,18.00959211468412,0.923371533004852,5.989543133169039,0.7974984027584892,3.2654012484567563,-2.0268905377403,-0.9733593750798075,0.05721089409260749,0.7099045251522424,1.0198453002475958,1.5175985332830493,0.022175407082817046
33,33,60.193363844393595,1.1428571428571428,18.218373285030104,0.93407597251116,6.110072415438303,0.8135466902418965,3.3286739507634167,-1.9639516031507709,-0.8862815959775894,0.0730664860387753,0.7241901360901557,0.9153900274375082,1.457993388110511,0.03538317593471007
34,34,60.191647597254004,1.1428571428571428,18.416972077544898,0.9442583503423481,6.225425050608642,0.8289057151720093,3.390328822471478,-1.9026219649955767,-0.8744435833587527,0.06787525223728164,0.737862190180921,0.8179122226191271,1.3505211464679858,0.03342074421657064
35,35,60.18993135011441,1.1428571428571428,18.60588509265528,0.9539441277467579,6.335771062409953,0.8435981159454474,3.450391721853796,-1.8428759014064156,-1.0643959302183426,0.08233105787458506,0.7509408393146833,0.7270443685063956,1.0968696412641457,0.04599521248728436
36,36,60.18821510297483,1.1428571428571428,18.78558471129943,0.9631575242129965,6.441281869880912,0.8576467167420374,3.5088887596568252,-1.7846874393723233,-0.8341024875405667,0.07960875228063546,0.7634464007591453,0.642429337926991,1.1641665849747407,0.0457413447883574
37,37,60.18649885583524,1.1428571428571428,18.956520276125296,0.9719215780312738,6.5421290810119475,0.8710743669002384,3.5658462667704782,-1.7280303869007252,-0.6336410117074864,0.07242748425029255,0.7753992141773245,0.5637214231140815,1.2186337465465997,0.04188428094753778
38,38,60.18478260869565,1.1428571428571428,19.119119215081312,0.9802582039011268,6.638483478977533,0.8839038059355415,3.621290762394036,-1.6728783646829948,-0.7018199441440887,0.06995601786907724,0.7868195214717638,0.49058708884092583,1.0708063601278044,0.041492717444853555
39,39,60.183066361556065,1.1428571428571428,19.27378811020887,0.988188247729585,6.7305141758485405,0.8961575508585782,3.675248922756502,-1.6192048372088985,-0.6308086020576642,0.078086387092835,0.7977273664791468,0.42270549321592843,1.0367537527932824,0.049434922435964895
40,40,60.181350114416475,1.1428571428571428,19.42091371430922,0.9957315387567948,6.818387911746713,0.9078578028586226,3.7277475504460256,-1.5669831432756354,-0.8432310565850143,0.09077407205571042,0.8081425119032919,0.3597688138771822,0.7792222998295927,0.06116366201079351
41,41,60.17963386727689,1.1428571428571428,19.56086391802691,1.002906939139449,6.9022684801078835,0.9190263707782788,3.7788135444061233,-1.5161865258335183,-0.7714811526294829,0.07848128444909452,0.8180843711950592,0.3014824120531461,0.7538458972588598,0.05264150583009238
42,42,60.1779176201373,1.1428571428571428,19.69398866976805,1.009732391116003,6.982316262101701,0.929684609122186,3.8284738706415578,-1.466788161125221,-0.6453867934270718,0.06520826773803723,0.8275719533699193,0.2475648623676039,0.7786465272118139,0.043004770810328295
43,43,60.17620137299771,1.1428571428571428,19.820620850753574,1.016224961871618,7.058687855351653,0.939853368621666,3.8767555336811643,-1.4187611870727368,-0.6625653333328652,0.09892502392683244,0.8366238190023724,0.1977478723003585,0.6895178137319914,0.072378617586647
44,44,60.174485125858126,1.1428571428571428,19.941077107395706,1.0224008862150118,7.1315357839438285,0.9495529576228368,3.9236855488378186,-1.3720787308704185,-0.7936495829655721,0.07924810019632744,0.8452580458550288,0.15177611177271388,0.5072618935949822,0.057149483862747215
