,runname,datetime,rmse_d34S,rmse_D33S,laki_bottom_bcg_d34S,Laki1_d34S,Laki2-3_d34S,Laki6_d34S,Laki7_d34S,Laki8_d34S,Laki9_d34S,Laki10_d34S,Laki11_d34S,Laki12_d34S,Laki13_d34S,Laki14_d34S,Laki15_d34S,Laki16_d34S,Laki17-18_d34S,Laki19_d34S,Laki20-21_d34S,laki_top_bcg_d34S,laki_bottom_bcg_D33S,Laki1_D33S,Laki2-3_D33S,Laki6_D33S,Laki7_D33S,Laki8_D33S,Laki9_D33S,Laki10_D33S,Laki11_D33S,Laki12_D33S,Laki13_D33S,Laki14_D33S,Laki15_D33S,Laki16_D33S,Laki17-18_D33S,Laki19_D33S,Laki20-21_D33S,laki_top_bcg_D33S
0,0-TMI_50-H2O2_50-OH,20241129_140131,4.134295636102472,0.1379646857336653,0.1536508414953896,-2.496349159,0.6736508414953892,6.904107737,4.593037108303445,2.414159812,-0.330433875,-2.017949918,-2.719856444,-2.958694941,-4.075775434,-3.400871043,-2.024450874,-0.970511417,-9.690578925,-0.389946183,0.2973193769721138,0.5995877393446918,-0.023748069,-0.053748069,0.1562519306860973,-0.010475532,0.033029158,-0.033694271,-0.124408491,-0.251319632,-0.219296217,-0.17479737,-0.228087894,-0.098466761,0.1188202432598426,-0.027671193,-0.105785134,0.005579544,0.056135759,-0.003566445
1,50-TMI_25-H2O2_25-OH,20241129_140228,2.9532370446543554,0.1091118574795038,0.101136772,-2.548863228,0.6211367716895726,4.720272715011224,3.239248612068366,1.6853395849591468,-0.304560452,-1.315751432,-1.482378708,-1.314563385,-2.11028026,-1.133780442,0.6463510976828415,1.3090959936023765,-7.999871166,0.3862355856603257,0.7981612212976721,0.6156589547215923,-0.023207161,-0.053207161,0.156792839,0.064270294,0.1219504319815577,0.052358173,-0.037876261,-0.172345626,-0.146908062,-0.114056617,-0.183318017,-0.05741464,0.142529513,-0.015143432,-0.098952223,0.007760754,0.057208588,-0.003547527
2,100-TMI_0-H2O2_0-OH,20241129_140325,2.4459260174126034,0.1093788465512724,0.047322595,-2.602677405,0.5673225949672727,2.439266064,1.813613023818996,0.907357479,-0.299055119,-0.605136515,-0.211187943,0.3842229921002587,-0.072731376,1.2214399572249477,3.425202423502632,3.693785619529492,-6.222921478,1.2102981191674491,1.332679027139671,0.633465287,-0.022685465,-0.052685465,0.1573145354172033,0.1383482954211344,0.2022541395619366,0.138502894,0.045273752,-0.095894915,-0.081162314,-0.055439846,-0.134058851,-0.021337207,0.1681296907271035,-0.004022171,-0.092647495,0.009881865,0.058445809,-0.003527779
3,100-TMI_0-H2O2_0-OH_outlier_rem,20241129_140432,1.731735492593478,0.1092545125646098,0.047450649,-2.602549351,0.567450649,2.4447224895927007,1.817030952183479,0.909229518,-0.299054129,-0.606821369,-0.214214733,0.3801714657444419,-0.077595311,1.2158143525215035,3.4185621380005697,3.6880787377772366,,1.2083180383831902,1.3313928502782488,0.6334220073909851,-0.022720003,-0.052720003,0.1572799970708524,0.1347074948355932,0.2033250819961932,0.1395953556576057,0.043169514,-0.095136605,-0.080341885,-0.056981562,-0.134065737,-0.02154248,0.1688417268363861,-0.003896862,-0.092340076,0.00988269,0.058401984,-0.00352691
4,50-TMI_25-H2O2_25-OH_outlier_rem,20241129_140530,1.9388215645870184,0.1093769511992812,0.1005366921911168,-2.549463308,0.6205366921911164,4.6950511734503735,3.2235421690498565,1.6768195486132964,-0.304393862,-1.307781896,-1.468218054,-1.295688751,-2.087675168,-1.107675957,0.6771299938674629,1.3354458105176858,,0.3952814906938098,0.8040151320615383,0.6158507289238617,-0.023210889,-0.053210889,0.1567891112260515,0.063360744,0.1230068410203081,0.052636248,-0.041293718,-0.167491504,-0.151426169,-0.113775213,-0.183015333,-0.060046013,0.1439300712306342,-0.014633579,-0.099399025,0.007982333,0.057255837,-0.003548566
5,0-TMI_50-H2O2_50-OH_outlier_rem,20241129_140624,3.136496856859736,0.1365751609620056,0.153461021,-2.496538979,0.6734610209531926,6.896261573684896,4.588185826765617,2.411559533778023,-0.330317415,-2.015402095,-2.715387061,-2.952767614,-4.068696861,-3.392711754,-2.014843206,-0.962325072,,-0.387171952,0.2991065003562703,0.5996443972903567,-0.02373707,-0.05373707,0.1562629299450554,-0.015108363,0.039274149,-0.023993025,-0.127992918,-0.248451392,-0.214177653,-0.172594009,-0.226912931,-0.093557451,0.1192123278967243,-0.030064332,-0.104757905,0.006042026,0.05604182,-0.003565469
6,100-TMI_0-H2O2_0-OH_outlier_rem_halfrestime,20241129_140726,2.0003182300858424,0.1158684576610601,-0.141726514,-2.791726514,0.3782734862578678,2.313595786120486,2.2789569407017574,1.643505738537596,0.732575523,0.534169061,0.8967684212582427,1.394511690031306,0.8131194221588407,1.967939217984952,4.023384573408225,3.675577154430779,,0.9832442358761622,1.162501528249578,0.6256422111394393,-0.020627093,-0.050627093,0.159372907,0.1517833334290474,0.2067955326969671,0.134847527,0.029984346,-0.114657883,-0.100686751,-0.082099705,-0.159842689,-0.04736729,0.1445196702537613,-0.019960962,-0.102473444,0.006547011,0.056472542,-0.003561359
7,100-TMI_0-H2O2_0-OH_outlier_rem_onehalfrestime,20241129_140805,1.7787370920810022,0.1044978985589979,0.086611332,-2.563388668,0.6066113320557811,3.243593388029529,1.7831920503592753,0.4324422432216358,-1.190577126,-1.793465885,-1.55078935,-0.983028111,-1.378699441,0.033940655,2.3787110768095934,3.1299511820805224,,1.3714899019462798,1.5544425047332595,0.7093130120877547,-0.023117909,-0.053117909,0.1568820907517161,0.1168773185291261,0.1956907673144187,0.1371353121235938,0.047095028,-0.084708747,-0.065753996,-0.037240229,-0.110838019,0.00199951,0.1938335545986658,0.016656601,-0.074492954,0.020128899,0.065793338,-0.002941058
8,100-TMI_0-H2O2_0-OH_outlier_rem_so2onehalfrestime,20241129_140938,1.6547174456065534,0.106377541,0.069102075,-2.580897925,0.5891020748403761,2.685736249085344,1.5014581987932107,0.304021762,-1.161836898,-1.6346758,-1.304757231,-0.691078473,-1.076304916,0.3131486012178799,2.590450590279814,3.191063523599764,,1.2974423849007586,1.479980953210971,0.6932239145786045,-0.022923624,-0.052923624,0.1570763758960345,0.1231611299336906,0.1980978923453264,0.1411331147487483,0.049365244,-0.089091897,-0.071441858,-0.041288992,-0.116845347,-0.004007012,0.1875893903622044,0.01132045,-0.079427541,0.017372108,0.063849414,-0.003062561
9,100-TMI_0-H2O2_0-OH_outlier_rem_so2halfrestime,20241129_141015,1.9571326765703616,0.1145700276800807,-0.017025251,-2.667025251,0.5029747486614884,2.519014561742009,2.294521513187299,1.5544023220295784,0.5003949959725164,0.2289235421812749,0.5695002,1.0705205815152152,0.5083175363528492,1.7070383303897296,3.9154808620788737,3.804158269710855,,1.0100668925642928,1.1738027039511325,0.6256515977506059,-0.021990669,-0.051990669,0.1580093305634559,0.1503273980594411,0.2048680365098422,0.1358093083098814,0.036296484,-0.110754334,-0.097680478,-0.074730018,-0.154447414,-0.041921653,0.1507933116141873,-0.017028019,-0.101159602,0.006715658,0.056527317,-0.00356134
