,runname,datetime,rmse_d34S,rmse_D33S,laki_bottom_bcg_d34S,Laki1_d34S,Laki2-3_d34S,Laki6_d34S,Laki7_d34S,Laki8_d34S,Laki9_d34S,Laki10_d34S,Laki11_d34S,Laki12_d34S,Laki13_d34S,Laki14_d34S,Laki15_d34S,Laki16_d34S,Laki17-18_d34S,Laki19_d34S,Laki20-21_d34S,laki_top_bcg_d34S,laki_bottom_bcg_D33S,Laki1_D33S,Laki2-3_D33S,Laki6_D33S,Laki7_D33S,Laki8_D33S,Laki9_D33S,Laki10_D33S,Laki11_D33S,Laki12_D33S,Laki13_D33S,Laki14_D33S,Laki15_D33S,Laki16_D33S,Laki17-18_D33S,Laki19_D33S,Laki20-21_D33S,laki_top_bcg_D33S
0,testconfigs_looptest_250730_142913,20250730_142944,2.1456884504251312,0.126673383023344,0.1360513233279672,-2.513948676672033,0.6560513233279668,5.291874088609187,3.441244601426214,1.852861665040747,0.4843521315319917,-0.446998070848148,-0.6398240874209211,-0.5461922587899073,-1.275621829284132,0.2998228684963075,2.411664118811884,2.685227162998112,,0.8287069829986695,1.082831554521665,0.6249155818397387,-0.0237286389813214,-0.0537286389813214,0.1562713610186785,-0.0089230413510873,0.0393556965858992,-0.0290523915242869,-0.1048047290824129,-0.2276394788856303,-0.1966640146893415,-0.1556484820573721,-0.2146890744801802,-0.0841043311872512,0.1261862786723394,-0.0236395109707679,-0.1035968766996632,0.006431397517629,0.0564353884759135,-0.003561378279795
1,testconfigs_looptest_250730_142945,20250730_143016,3.4602161188807696,0.1036492594153323,0.1103521981664972,-2.539647801833503,0.6303521981664968,9.20349921568741,6.066930951795292,3.602111182134084,0.817307713894431,-1.0255367287845545,-1.782481912462882,-1.93905507694414,-2.871539151677316,-1.9113490503490544,-0.0650956451318922,0.7066756651802342,,0.3216747342073054,0.7799390868094136,0.6192532659517571,-0.0232003511726997,-0.0532003511726997,0.1567996488273002,0.0365183893436392,0.112247783217483,0.0505975481643023,-0.0350636218118461,-0.1644328347416672,-0.138113071152595,-0.104569301391121,-0.1725365557694787,-0.0512880076723403,0.1495614183856481,-0.013942698508706,-0.0993877392871251,0.0070775034987339,0.056650478583207,-0.0035595447780454
2,testconfigs_looptest_250730_143017,20250730_143048,3.5266104063772694,0.1118153343601792,0.1145495278750363,-2.535450472124964,0.6345495278750359,9.365069455955336,6.265050052549159,3.750476005319782,1.0171162457836052,-0.8027394436258273,-1.6127070285526162,-1.8613333199264308,-2.904217398697847,-2.0661579694725885,-0.362411135483121,0.2355664316507955,,0.157103559279661,0.6830130524153635,0.6176605683049381,-0.0233386348463844,-0.0533386348463844,0.1566613651536155,0.0288346413359857,0.094736407231841,0.0299034293463573,-0.0580512352273111,-0.1886563836099243,-0.1617535613851672,-0.1262728478895897,-0.1913919769204099,-0.0666538503235524,0.1381768348535741,-0.0185384750064361,-0.10101430036529,0.0070575174524471,0.0567413249413605,-0.0035594191027065
3,testconfigs_looptest_250730_143048,20250730_143119,2.136226077026187,0.1260093237377087,0.1204749695151612,-2.529525030484839,0.6404749695151608,4.644019627405054,3.183364593932799,1.98174417321702,0.5294355048337526,0.029448387332255,0.2648999223615145,0.6080332818449476,0.2285407607058269,1.5083926183481848,3.2240779368983805,3.073232518858954,,0.8994466309389377,1.1215368774385066,0.625359551898109,-0.0235830361790904,-0.0535830361790904,0.1564169638209095,0.0132521300788551,0.0631167059808606,-0.0066160360863175,-0.0961771509511871,-0.225654178673633,-0.1950909396248898,-0.1545045500326546,-0.2140263613511393,-0.0837733034177078,0.1263445433233514,-0.023588639895072,-0.1035731990230451,0.0064364570302823,0.0564377126583175,-0.0035613699804995
4,testconfigs_looptest_250730_143120,20250730_143150,2.147807296128357,0.1260271643125512,0.1165466158890904,-2.53345338411091,0.63654661588909,4.523456137808479,3.154772719178186,2.0227986289510023,0.6238494100998663,0.1615149281567065,0.4264989243642345,0.8066615197073186,0.41098972175591,1.6347995917739526,3.3019322924956374,3.106994761668033,,0.904707054810185,1.1242796514506512,0.6253646367574408,-0.0235833740532942,-0.0535833740532942,0.1564166259467057,0.0131849249472275,0.0630429093938029,-0.0066864887462037,-0.0962397650291391,-0.2257064548399715,-0.1951316593516814,-0.1545334885041858,-0.2140439114354298,-0.0837829907073779,0.1263393902578197,-0.0235905749523123,-0.1035741927721233,0.0064362005959917,0.056437583503498,-0.0035614920415979
5,testconfigs_looptest_250730_143151,20250730_143221,3.840895071632984,0.0877656447021961,0.0684557443495776,-2.5815442556504227,0.5884557443495773,10.528455744349577,6.620754088161761,2.9761820501153124,0.0695641373649463,-1.4658668770855812,-1.5076428246010405,-0.837213180437208,-1.0149023578254308,0.6267114132997698,3.107575461734111,3.329203732509696,,0.9750975919061576,1.1629244072920049,0.6257097889670309,-0.0228712993929515,-0.0528712993929515,0.1571287006070484,0.0171287006070484,0.1166132842413014,0.0852912388329168,0.0134562793715858,-0.1098791136955375,-0.0865399014838034,-0.0624527698304895,-0.1426722153706303,-0.034736632842457,0.1529863901616009,-0.0158137387843111,-0.100298746515767,0.0070089907405264,0.0566768511290029,-0.0035609222394965
6,testconfigs_looptest_250730_143222,20250730_143253,4.879785715085926,0.1059938855368968,0.1341504906948838,-2.5158495093051165,0.6541504906948834,10.594150490694885,10.374451744200222,7.174178383211554,2.84248203877198,-0.0782782533812942,-1.8518379503895368,-2.504855687318117,-3.501155820979161,-2.421243983623356,-0.5165148739470733,1.2500429300167806,,0.6975357720420394,1.0322289876716138,0.6252484492561301,-0.023294361239257,-0.053294361239257,0.1567056387607429,0.0167056387607429,0.0755692161171666,0.0255103846381802,-0.0542288700681747,-0.179911074067739,-0.1507815312559051,-0.1163575283937724,-0.1842002904665594,-0.0629936863188345,0.1379075821743027,-0.020326201048903,-0.1022438285970166,0.0066533696033117,0.0565251822351021,-0.0035614250498987
7,testconfigs_looptest_250730_143253,20250730_143324,4.46390717489538,0.1140605423677846,0.1363913555869444,-2.513608644413056,0.6563913555869441,10.596391355586944,9.607620188589976,5.26757399810625,1.6370305250474315,-0.7852693451263968,-1.936174131988832,-2.110636441606608,-2.8512446854669395,-1.682690687558975,0.4461815465358958,1.85834098795536,,0.7702184338545841,1.064806757411958,0.6253191821487611,-0.0238874988566612,-0.0538874988566612,0.1561125011433388,0.0161125011433388,0.0439352370194488,0.0148934205415605,-0.0714352938727581,-0.2002021797604514,-0.1718131992790845,-0.1352789296326357,-0.199584113967131,-0.07424081348798,0.1312278422475321,-0.0222127575625911,-0.1030015623908282,0.006534010799949,0.0564779603361101,-0.0035612895120935
8,testconfigs_looptest_250730_143325,20250730_143356,4.840627586292303,0.1235106493900871,0.1538621509094468,-2.496137849090553,0.6738621509094465,10.613862150909446,9.808669509440556,6.443581257580121,2.588539882474425,-0.1780369683040692,-1.9922060166649187,-2.895379067511595,-4.259425364446555,-3.542701632212037,-1.938577629082186,-0.8248379957250229,,0.1084111446578761,0.6956906309898727,0.6217325781177063,-0.0235389488931553,-0.0535389488931553,0.1564610511068447,0.0164610511068446,0.068658582705261,-0.0003126214432444,-0.089772158830868,-0.2195294730897166,-0.1896517076729156,-0.1500657969507853,-0.2106395462372439,-0.0812921267837307,0.128021825937009,-0.0228926636939691,-0.1032231888106937,0.0065208178632224,0.0564787713823388,-0.0035614009573263
9,testconfigs_looptest_250730_143357,20250730_143428,3.326469008747025,0.1164636839642695,0.132547788125068,-2.5174522118749323,0.6525477881250676,8.454203605237083,5.713379495784388,3.4579165731239234,0.6649598791866581,-1.172491083943953,-1.9563459742729543,-2.197892645844722,-3.253147532248666,-2.4504876032977547,-0.8425799799599476,-0.0562193148477785,,0.0284489124226201,0.5978568398191761,0.6157712459275135,-0.0234207988963621,-0.0534207988963621,0.1565792011036378,0.0310750377964043,0.0871320687231295,0.0190170490126242,-0.0702531169003707,-0.2010899555538763,-0.1731087606389396,-0.135822681890973,-0.1989174865854674,-0.0722154281989835,0.1343812423641788,-0.0200072185717987,-0.1016324502628371,0.0072007763913465,0.0569082334590324,-0.0035509225006194
