,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0.0,60.25,1.1428571428571428,1.0871193422865302,0.055737800570612554,0.04918843636044346,0.006549364210169076,0.2523077544287444,-4.921052449869823,-2.457025725785733,0.08037071136865359,0.005830009531789847,8.397534600595234,7.554613481699607,-0.06272224359781431
1,1.0,60.24828375286042,1.1428571428571428,2.1212192486133414,0.1087572365303319,0.139386567102749,0.0185591057880264,0.3753397065017649,-4.798661558548311,-2.393839077996311,0.08037583320909425,0.016520651497391195,8.256337362824219,7.4479988659478655,-0.06118343264310628
2,2.0,60.24656750572083,1.1428571428571428,3.104885507384836,0.1591908840856482,0.2634936758553637,0.03508377533303343,0.49629107193978955,-4.678340413696074,-2.331724677422149,0.08038086813787704,0.031230320690545023,8.064834483866965,7.302736664351354,-0.05906600677160714
3,3.0,60.24485125858122,1.1428571428571428,4.040577796616815,0.20716485362516354,0.41535469444158585,0.05530383503894145,0.6151636909269032,-4.560087184687536,-2.2706813891101074,0.08038581624689956,0.04922949389819297,7.8338953048993965,7.126739145968495,-0.05647492192059409
4,4.0,60.243135011441645,1.1428571428571428,4.930635834412706,0.25279910506125164,0.589643658511383,0.07851014099145459,0.7319604532579271,-4.443898996755662,-2.2107075426981937,0.08039067767146024,0.06988691659744005,7.572730865536406,6.926752461775094,-0.0535010043186447
5,5.0,60.24141876430206,1.1428571428571428,5.777285229477526,0.2962077477923224,0.7817611222132278,0.10409028409047741,0.8466852924480018,-4.329771936851634,-2.151800935578234,0.08039545259006076,0.09265744413357796,7.2891209272473905,6.708512223165768,-0.050222697844314414
6,6.0,60.23970251716248,1.1428571428571428,6.582643046298914,0.3374993260357561,0.9877438787651741,0.13151656948380974,0.9593431780030892,-4.217701061334235,-2.0939588369940454,0.08040014122378869,0.11707134144233493,6.9896112656948155,6.476879124814201,-0.046707601880521456
7,7.0,60.23798627002287,1.1428571428571428,7.348723098911073,0.3767770902449837,1.2041855286631948,0.16033544034696276,1.0699401058787217,-4.107680405461329,-2.03717799305948,0.08040474383639307,0.14272486847733024,6.679685047174809,6.235957127914739,-0.04301382447876215
8,8.0,60.23627002288329,1.1428571428571428,8.077440986478813,0.4141392552894018,1.4281666092140508,0.19015817473854552,1.178483087160913,-3.999702994649965,-1.9814546326805527,0.08040926073334731,0.16927199888382138,6.363911619805105,5.989196405180611,-0.03919117272304817
9,9.0,60.23455377574371,1.1428571428571428,8.77061888329325,0.4496792460427046,1.6571931507954076,0.2206527044613483,1.2849801350084133,-3.8937608574661526,-1.9267844743596105,0.08041369226175599,0.19641713744175152,6.046075626732842,5.739482973503049,-0.03528219960258605
10,10.0,60.23283752860413,1.1428571428571428,9.429990095156661,0.48348593099372933,1.889142659106549,0.2515364226825877,1.389440249902436,-3.7898450402983856,-1.8731627338595727,0.0804180388092024,0.22390871766680207,5.729288978736696,5.489216699016029,-0.0313231244256841
11,11.0,60.23112128146452,1.1428571428571428,10.057203393549836,0.5156438444639696,2.1222166407782215,0.28256986279229673,1.491873403253976,-3.687945623664661,-1.8205841327002779,0.0804223008034688,0.25153357495644757,5.416087900449872,5.240379148203939,-0.027344641797700343
12,12.0,60.229405034324934,1.1428571428571428,10.653827138419572,0.5462333979874101,2.354898893912414,0.3135511448532181,1.592290519425257,-3.5880517400976903,-1.769042907459977,0.08042647871157049,0.27911200301848677,5.108516982151389,4.994592573899078,-0.023372632413665606
13,13.0,60.22768878718535,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.34431109823646944,1.69070345622639,-3.4901515935464107,-1.7185328198489749,0.08043057303914303,0.3064934122159357,4.8082019225190855,4.753171163274224,-0.019428787351633697
14,14.0,60.22597254004577,1.1428571428571428,11.761200688742335,0.6030096540102686,2.8142195512306767,0.3747089798367826,1.787124983952766,-3.3942324802295643,-1.6690471675230925,0.08043458432935191,0.3335525180755364,4.516412432407828,4.517165533375013,-0.015531156173163575
15,15.0,60.224256292906176,1.1428571428571428,12.274719504876305,0.629338326723175,3.038929161165056,0.40462871678879525,1.8815687630327815,-3.30028081087131,-1.6205787956003048,0.08043851316201112,0.3601859966883215,4.234116581677772,4.287401335850198,-0.011694627919377205
