,t,temp,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,7.006122866353561,0.0,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,-0.5640193501299517,11.000727310244596,5.414222374197308,-0.2361205443741632,0.005830009531789846,8.49035872835976,7.600502933149592,-0.06456739063552308
1,1,7.006122866353561,0.0,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,-0.8388251684825487,10.722741638723221,5.271841335292571,-0.23608710632672114,0.01652065149739119,8.512761055796835,7.57464090054619,-0.06641160657901747
2,2,7.006122866353561,0.0,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,-1.108837639469784,10.449604779698696,5.131925302197304,-0.2360542471833149,0.031230320690545023,8.537285063645673,7.535828846736849,-0.06894837690083755
3,3,7.006122866353561,0.0,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,-1.3740665649650818,10.181306817876878,4.994470164159548,-0.23602196597893865,0.04922949389819297,8.5596066709995,7.484398880029632,-0.07205151690502176
4,4,7.006122866353561,0.0,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,-1.634524038612195,9.917835519676066,4.859470603341132,-0.2359902614648135,0.06988691659744004,8.576428207880847,7.420865412196387,-0.07561189262508121
5,5,7.006122866353561,0.0,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,-1.8902244282044123,9.659176351048515,4.726920103295562,-0.23595913210949782,0.09265744413357796,8.58530112172101,7.345876933535684,-0.07953530510251502
6,6,7.006122866353561,0.0,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,-2.14118435406796,9.405312499350282,4.596810959565101,-0.23592857610488238,0.11707134144233493,8.584475737731271,7.26017652017924,-0.08374062915492216
7,7,7.006122866353561,0.0,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,-2.3874226635220985,9.156224899174115,4.46913429236484,-0.2358985913646361,0.1427248684773302,8.572774187274666,7.164569693124363,-0.08815817639426993
8,8,7.006122866353561,0.0,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,-2.6289604015019563,8.911892262068344,4.343880061300265,-0.23586917553131137,0.16927199888382133,8.54948315768868,7.059898452439927,-0.09272825583341623
9,9,7.006122866353561,0.0,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,-2.865820777439687,8.67229111003831,4.221037082078993,-0.2358403259783426,0.19641713744175154,8.514263583134358,6.9470204851214135,-0.09739990856975769
10,10,7.006122866353561,0.0,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,-3.098029128516977,8.43739581271885,4.100593045153644,-0.2358120398142649,0.22390871766680207,8.46707479873892,6.826792695149527,-0.10212979581793666
11,11,7.006122866353561,0.0,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,-3.325612879408135,8.207178628096612,3.9825345362332065,-0.23578431388915355,0.2515335749564476,8.408111028046523,6.70005833289728,-0.10688122201621161
12,12,7.006122866353561,0.0,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,-3.5486014986486625,7.9816097466487435,3.8668470585982995,-0.2357571447983986,0.27911200301848677,8.33774837396303,6.567637111117396,-0.11162327689317618
13,13,7.006122866353561,0.0,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,-3.7670264517709606,7.760657338746091,3.7535150571406106,-0.2357305288889222,0.3064934122159357,8.256500742366942,6.43031778890173,-0.11633008229151665
14,14,7.006122866353561,0.0,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,-3.980921151361505,7.544287605175448,3.6425219440503476,-0.23570446226517383,0.3335525180755364,8.1649833509145,6.2888527854725735,-0.12098013122676696
15,15,7.006122866353561,0.0,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,-4.190320904200018,7.33246483061345,3.5338501260675503,-0.2356789407951254,0.36018599668832146,8.063882668089366,6.1439544543602445,-0.125555708143503
16,16,7.006122866353561,0.0,1.1428571428571428,12.763193712817706,0.6543829349157406,3.2593364850695234,0.43397561101127385,-4.395262855650728,7.125151439876687,3.427481033203561,-0.23565396011804296,0.38630955121287003,7.953931793414782,5.996292707103,-0.13004238064081797
17,17,7.006122866353561,0.0,1.1428571428571428,13.227844752521248,0.6782061031536006,3.4748691379018384,0.4626734503212859,-4.595785931480023,6.922308056777737,3.323395148849162,-0.2356295156502597,0.4118553402925743,7.835890432576247,5.846493725514424,-0.13442855409114596
18,18,7.006122866353561,0.0,1.1428571428571428,13.669834493612106,0.700867401766284,3.6850745622664345,0.49066197740168765,-4.7919307772877895,6.723893565395267,3.221572041165688,-0.23560560259316965,0.43676972502111705,7.7105287441130645,5.6951395440174775,-0.13870508159699096
19,19,7.006122866353561,0.0,1.1428571428571428,14.090268140665183,0.7224234958040655,3.8896033843948357,0.5178946736756643,-4.983739695735734,6.529865173572569,3.1219903956625217,-0.2355822159412213,0.4610112962269308,7.578614440058839,5.542768319625906,-0.14286492262550196
20,20,7.006122866353561,0.0,1.1428571428571428,14.490196996792218,0.7429282867301078,4.088194850892802,0.544336820232141,-5.171256581766093,6.340178478446257,3.024628048863054,-0.23555935048968912,0.4845491483784244,7.440902613777551,5.389875137768165,-0.1469028444527523
21,21,7.006122866353561,0.0,1.1428571428571428,14.870621092447166,0.7624330472021944,4.280664095659262,0.5699638024357354,-5.354526856008568,6.1547875338126,2.929462022953855,-0.23553700084177898,0.5073613704084629,7.298127846301383,5.23691322808401,-0.15081516124726085
22,22,7.006122866353561,0.0,1.1428571428571428,15.232491686023227,0.7809865492810817,4.466891016125173,0.5947596288151704,-5.533597396570222,5.9736449191252206,2.836468561309591,-0.23551516141839812,0.5294337272818607,7.150998209473202,5.084295486261968,-0.15459950623951635
23,23,7.006122866353561,0.0,1.1428571428571428,15.576713642494315,0.7986351863860544,4.646810564194185,0.6187156383170418,-5.708516469409286,5.796701809926974,2.745623164795541,-0.23549382646637085,0.5507585092389712,7.000190841672133,4.932396216515066,-0.1582546329632003
24,24,7.006122866353561,0.0,1.1428571428571428,15.904147696048819,0.8154230893026395,4.8204042804042855,0.6418293730925384,-5.879333657494268,5.623908049511517,2.6569006287369135,-0.2354729900655439,0.5713335283907811,6.846348821154603,4.781553024896674,-0.1617802420340205
25,25,7.006122866353561,0.0,1.1428571428571428,16.215612602373405,0.8313922365325568,4.987692920235169,0.664103596701674,-6.046099788945103,5.455212221612715,2.570275080449269,-0.2354526461403328,0.5911612447594707,6.690079104225863,4.6320688067867675,-0.16517683035687267
26,26,7.006122866353561,0.0,1.1428571428571428,16.51188718596871,0.8465825592618379,5.148730039481364,0.6855454400156429,-6.208866864358953,5.290561723920506,2.4857200172274663,-0.23543278846682725,0.610248005991269,6.531951331547175,4.4842137828925654,-0.16844556001585145
27,27,7.006122866353561,0.0,1.1428571428571428,16.79371228761626,0.8610320412095923,5.303596421480123,0.7061656592108337,-6.367687983513948,5.129902842224476,2.403208344690322,-0.2354134106812289,0.6286033868492922,6.372497336733564,4.338227547320826,-0.17158814443714884
28,28,7.006122866353561,0.0,1.1428571428571428,17.061792616866313,0.874776813607088,5.45239524297603,0.7259779921111806,-6.522617271646602,4.973180824990653,2.3227124153710754,-0.23539450629161962,0.646239616252548,6.212211217740503,4.194321098960733,-0.17460674970220058
29,29,7.006122866353561,0.0,1.1428571428571428,17.316798514178803,0.8878512455446512,5.595247887742358,0.7449986007783221,-6.673709805493977,4.820339958173214,2.2442040674626185,-0.2353760686826245,0.6631710810896543,6.051549854002369,4.052678833818484,-0.17750390913504235
30,30,7.006122866353561,0.0,1.1428571428571428,17.559367627123653,0.9002880299122932,5.732290327957218,0.7632455896974336,-6.821021539285876,4.671323640081271,2.167654663608465,-0.23535809113028883,0.6794138973251156,5.890933771436927,3.913460481228044,-0.18028244952966932
31,31,7.006122866353561,0.0,1.1428571428571428,17.79010650483183,0.9121182651489648,5.863670002922675,0.7807385901835068,-6.9646092308687235,4.526074456107976,2.093035129654419,-0.2353405668058528,0.6949855400526741,5.730748273706366,3.776802971244851,-0.1829454275563923
32,32,7.006122866353561,0.0,1.1428571428571428,18.00959211468412,0.923371533004852,5.989543133169039,0.7974984027584892,-7.104530368136852,4.384534253150552,2.0203159932552506,-0.23532348878796405,0.7099045251522424,5.571344771974282,3.642822224100913,-0.18549607508671936
33,33,7.006122866353561,0.0,1.1428571428571428,18.218373285030104,0.93407597251116,6.110072415438303,0.8135466902418965,-7.2408430959424175,4.246644213547146,1.9494674222573227,-0.2353068500706712,0.7241901360901557,5.413042257132925,3.511614855543577,-0.1879377523089653
34,34,7.006122866353561,0.0,1.1428571428571428,18.416972077544898,0.9442583503423481,6.225425050608642,0.8289057151720093,-7.37360614364424,4.112344928365097,1.8804592627634786,-0.23529064357208362,0.737862190180921,5.256128868419964,3.383259794243388,-0.19027390765348853
35,35,7.006122866353561,0.0,1.1428571428571428,18.60588509265528,0.9539441277467579,6.335771062409953,0.8435981159454474,-7.5028787534562325,3.9815764698827305,1.813261076798467,-0.23527486214347526,0.7509408393146833,5.100863520750664,3.257819809373128,-0.19250804366239002
36,36,7.006122866353561,0.0,1.1428571428571428,18.78558471129943,0.9631575242129965,6.441281869880912,0.8576467167420374,-7.628720609739403,3.854278463115257,1.7478421794963062,-0.23525949857972073,0.7634464007591453,4.94747756018468,3.135342947983311,-0.19464368804430918
37,37,7.006122866353561,0.0,1.1428571428571428,18.956520276125296,0.9719215780312738,6.5421290810119475,0.8710743669002384,-7.751191769381771,3.7303901562399933,1.6841716757372005,-0.23524454562484642,0.7753992141773245,4.796176422914759,3.0158638830014426,-0.19668436924198726
38,38,7.006122866353561,0.0,1.1428571428571428,19.119119215081312,0.9802582039011268,6.638483478977533,0.8839038059355415,-7.870352593397634,3.6098504897887906,1.6222184961578456,-0.23522999598091232,0.7868195214717638,4.647141278181495,2.8994051736081565,-0.19863359593247032
39,39,7.006122866353561,0.0,1.1428571428571428,19.27378811020887,0.988188247729585,6.7305141758485405,0.8961575508585782,-7.986263679870209,3.492598164481331,1.5619514324691774,-0.23521584232044646,0.7977273664791468,4.500530639714473,2.785978440457103,-0.2004948399459376
40,40,7.006122866353561,0.0,1.1428571428571428,19.42091371430922,0.9957315387567948,6.818387911746713,0.9078578028586226,-8.098985798354995,3.378571707581157,1.5033391720298273,-0.23520207728844333,0.8081425119032919,4.356481933804101,2.6755854587398726,-0.2022715221407535
41,41,7.006122866353561,0.0,1.1428571428571428,19.56086391802691,1.002906939139449,6.9022684801078835,0.9190263707782788,-8.20857982584866,3.267709537667196,1.4463503315997883,-0.23518869351546456,0.8180843711950592,4.215113015024647,2.568219172451168,-0.20396700085581201
42,42,7.006122866353561,0.0,1.1428571428571428,19.69398866976805,1.009732391116003,6.982316262101701,0.929684609122186,-8.315106684425256,3.159950027719516,1.3909534902403209,-0.2351756836214136,0.8275719533699193,4.076523623041045,2.463864633492294,-0.20558456257718727
43,43,7.006122866353561,0.0,1.1428571428571428,19.820620850753574,1.016224961871618,7.058687855351653,0.939853368621666,-8.418627280625701,3.0552315664307272,1.3371172212977012,-0.23516304022619394,0.8366238190023724,3.9407967759253664,2.3624998693794357,-0.20712741452816752
44,44,7.006122866353561,0.0,1.1428571428571428,19.941077107395706,1.0224008862150118,7.1315357839438285,0.9495529576228368,-8.517132607442246,2.913122128498147,1.264777702458286,-0.23432299289699232,0.8452580458550288,3.7738766162588773,2.2471641184070243,-0.20789900552193757
45,45,7.006122866353561,0.0,1.1428571428571428,20.05565864307891,1.0282756071739383,7.201008278335928,0.9588031127818386,-8.602518443329043,2.6144501459737235,1.1148299312309755,-0.23017273106161343,0.8534922027925499,3.473159784019365,2.0669099406466493,-0.2057628674159821
46,46,7.006122866353561,0.0,1.1428571428571428,20.164651971325252,1.0338638146108001,7.2672491152058125,0.9676229777409158,-8.675402933738141,2.328457061391509,0.9713916375494096,-0.2260243484774341,0.8613433307998579,3.180804616315614,1.8923398164522247,-0.2034977728745241
47,47,7.006122866353561,0.0,1.1428571428571428,20.268329632227438,1.0391794819549567,7.330397508534485,0.976031088626284,-8.736365050270756,2.054549568761166,0.834160411705686,-0.22187769791957673,0.8688279300728577,2.896816954742082,1.7233972945634037,-0.20111101735170447
48,48,7.006122866353561,0.0,1.1428571428571428,20.366950873941004,1.0442359011435762,7.390588044322358,0.9840453653557028,-8.785948216275429,1.7921707857981861,0.7028523054695028,-0.21773264112386803,0.8759619522807488,2.62117494037781,1.560013687918365,-0.19860953751501717
49,49,7.006122866353561,0.0,1.1428571428571428,20.460762300939745,1.049045715858401,7.447950652307903,0.9916831078728567,-8.824663496432962,1.5407969929142062,0.5772001830276885,-0.2135890480564962,0.882760797214006,2.353832157240336,1.4021096966113853,-0.19599992256787843
50,50,7.006122866353561,0.0,1.1428571428571428,20.549998490655348,1.0536209531415388,7.502610608910279,0.998960996539163,-8.852992410932847,1.2999347555442409,0.4569522657441365,-0.2094467962662108,0.8892393131331529,2.094720512551465,1.2495968829299713,-0.19328842613815175
51,51,7.006122866353561,0.0,1.1428571428571428,20.634882580043158,1.0579730534693321,7.5546885663663,1.0058950960133122,-8.871389425490595,1.0691183775144442,0.3418708442973113,-0.20530577030557318,0.8954118002221897,1.8437528718643974,1.1023790098057054,-0.1904809785442603
52,52,7.006122866353561,0.0,1.1428571428571428,20.71562682354079,1.0621128993595086,7.6043006036894285,1.0125008620363805,-8.880284160690422,0.847907641052581,0.23173113575145532,-0.201165861215676,0.9012920166284579,1.6008254662513437,0.9603532533122547,-0.18758319928603218
53,53,7.006122866353561,0.0,1.1428571428571428,20.792433123814792,1.0660508425831425,7.651558295655411,1.0187931506171597,-8.880083357660439,0.6358857956088038,0.12632026647023442,-0.19702696605886907,0.9068931866390914,1.3658200878550382,0.823411299178217,-0.18460040962324695
54,54,7.006122866353561,0.0,1.1428571428571428,20.86549353662246,1.0697967300494766,7.696568796525159,1.0247862291797294,-8.871172631674584,0.43265776330003725,0.025436364550320167,-0.1928889875019401,0.9122280106041865,1.1386060893419125,0.6914403326042468,-0.1815376451420514
