,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,-0.3698711924262632,7.214029318070914,3.6581655909064072,-0.04029501346584455,0.005830009531789846,8.468282242971378,7.590265105364641,-0.06342572592375977
1,1,60.24828375286041,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,-0.5501176690526632,7.032415364307987,3.5649605311188766,-0.040291271455439315,0.01652065149739119,8.451794461505555,7.546442117632849,-0.06317693182646826
2,2,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,-0.7272429075868558,6.85394632855485,3.473361514509943,-0.04028759392489996,0.031230320690545023,8.424991497122782,7.484031367761648,-0.06283452153906252
3,3,60.244851258581235,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,-0.9012524409178768,6.678616635946488,3.38336609360268,-0.040283980775823736,0.04922949389819297,8.387171006060896,7.405085042018799,-0.062415434956820434
4,4,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,-1.072153313966484,6.506419188113899,3.294971030747976,-0.04028043187794446,0.06988691659744004,8.338014839237816,7.311527361049839,-0.061934336087444496
5,5,60.24141876430206,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,-1.2399540728114111,6.337345374141767,3.2081723034641887,-0.04027694707016878,0.09265744413357796,8.277508753557084,7.205153644119814,-0.06140389397429692
6,6,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,-1.4046647511750665,6.1713850841851325,3.1229651111636483,-0.040273526159465924,0.11707134144233493,8.205875517110744,7.087631409627665,-0.060835029997845215
7,7,60.23798627002288,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,-1.566296854316973,6.008526725697072,3.0393438832398236,-0.04027016892234799,0.1427248684773302,8.123519379458823,6.960503045031847,-0.06023713553076677
8,8,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,-1.7248633403887936,5.848757242216562,2.957302288489597,-0.04026687510449988,0.16927199888382133,8.030980170027336,6.8251896612283875,-0.05961826345389611
9,9,60.234553775743706,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,-1.8803785993123379,5.692062134649456,2.876833245838243,-0.0402636444215565,0.19641713744175154,7.928895538867515,6.682995815468785,-0.05898529662801676
10,10,60.23283752860412,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,-2.0328584292530483,5.5384254849744075,2.7979289363295745,-0.04026047655984281,0.22390871766680207,7.817970070099553,6.535114844992162,-0.058344096051900475
11,11,60.23112128146453,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,-2.182320010767125,5.387829982291148,2.72058081634204,-0.040257371176336904,0.2515335749564476,7.698950184118456,6.382634602303468,-0.05769963111535231
12,12,60.22940503432494,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,-2.3287818787081083,5.24025695112762,2.6447796319858385,-0.04025432789952117,0.27911200301848677,7.572603904224801,6.226543423851944,-0.05705609407277404
13,13,60.22768878718536,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,-2.4722638919860707,5.095686381910713,2.5705154346316776,-0.04025134632986334,0.3064934122159357,7.4397047003501005,6.067736197948803,-0.056417000611808876
14,14,60.22597254004577,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,-2.6127872012787767,4.9540969634978005,2.4977775975216403,-0.04024842604051966,0.3335525180755364,7.301018740087232,5.907020426135189,-0.0557852781709703
15,15,60.224256292906176,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,-2.7503742147991783,4.815466117671807,2.426554833405925,-0.0402455665788152,0.36018599668832146,7.157294978005258,5.74512219574463,-0.0551633434652396
16,16,60.22254004576659,1.1428571428571428,12.763193712817706,0.6543829349157406,3.2593364850695234,0.43397561101127385,-2.885048562231707,4.679770035476816,2.356835213149814,-0.04024276746535567,0.38630955121287003,7.00925760053677,5.582692000850101,-0.054553170505186654
17,17,60.220823798627,1.1428571428571428,13.227844752521248,0.6782061031536006,3.4748691379018384,0.4626734503212859,-3.0168350569499403,4.546983715287389,2.2886061852483985,-0.04024002819617381,0.4118553402925743,6.857600417606505,5.420310364779631,-0.05395635024615175
18,18,60.21910755148741,1.1428571428571428,13.669834493612106,0.700867401766284,3.6850745622664345,0.49066197740168765,-3.1457596566364376,4.4170810024875,2.2218545961888063,-0.040237348243987725,0.43676972502111705,6.702982855336581,5.258493230476111,-0.05337414286704313
