,t,depth,so2_emitted,so2_pool,so2_oxidised,so4_pool,so4_removed,d34S_so2_pool,d34S_so4_pool,d33S_so4_pool,D33S_so4_pool,f_volc,d34S_so4_tot,d33S_so4_tot,D33S_so4_tot
0,0,60.25,1.1428571428571428,1.0871193422865302,0.05573780057061255,0.04918843636044347,0.006549364210169077,0.1494920004458944,-2.915716866077056,-1.4590379897564092,0.04845867087127137,0.005830009531789846,8.409225726163184,7.560431759713268,-0.06290829109809291
1,1,60.24828375286041,1.1428571428571428,2.121219248613341,0.1087572365303319,0.139386567102749,0.0185591057880264,0.22128319860037493,-2.821647044867759,-1.4106234649024454,0.04838706270260557,0.01652065149739119,8.288998930610019,7.464242228438584,-0.06171190797247401
2,2,60.246567505720826,1.1428571428571428,3.104885507384836,0.1591908840856482,0.26349367585536376,0.03508377533303343,0.29112337222114704,-2.7295191021807774,-1.3632124773835539,0.04831540043056495,0.031230320690545023,8.125696798394156,7.332983610951264,-0.060067421611198796
3,3,60.244851258581235,1.1428571428571428,4.040577796616815,0.20716485362516354,0.4153546944415859,0.05530383503894146,0.35902754012107074,-2.639318195865714,-1.3167972381374176,0.04824368465410579,0.04922949389819297,7.928453790114438,7.173698379958389,-0.05805726279171645
4,4,60.243135011441645,1.1428571428571428,4.930635834412707,0.2527991050612516,0.5896436585113829,0.07851014099145459,0.4250114129555893,-2.5510287926465702,-1.2713696059009645,0.048171915987423555,0.06988691659744004,7.705017727620757,6.992399893820854,-0.055752674229329766
5,5,60.24141876430206,1.1428571428571428,5.777285229477527,0.2962077477923224,0.7817611222132279,0.1040902840904774,0.4890913775736916,-2.4646346836273425,-1.2269210952174625,0.048100095059116416,0.09265744413357796,7.461939778089476,6.794209225304268,-0.053215103130511816
6,6,60.23970251716247,1.1428571428571428,6.582643046298914,0.33749932603575605,0.9877438787651741,0.13151656948380971,0.5512844802177952,-2.3801190009831164,-1.1834428850303518,0.04802822251069369,0.11707134144233493,7.20473946251049,6.583474448715236,-0.05049742582932571
7,7,60.23798627002288,1.1428571428571428,7.348723098911073,0.3767770902449836,1.2041855286631948,0.16033544034696276,0.611608408620512,-2.297464235728408,-1.14092582783815,0.047956298996948976,0.1427248684773302,6.938047911915477,6.363874600318476,-0.047645024500765715
8,8,60.236270022883296,1.1428571428571428,8.077440986478813,0.4141392552894019,1.4281666092140513,0.1901581747385455,0.6700814730480342,-2.2166522565458813,-1.099360459385574,0.04788432518560184,0.16927199888382133,6.665732182355256,6.138510249098022,-0.0446967335767825
9,9,60.234553775743706,1.1428571428571428,8.77061888329325,0.44967924604270454,1.6571931507954076,0.22065270446134824,0.7267225863452076,-2.1376643296224795,-1.0587370088660795,0.04781230175579806,0.19641713744175154,6.391003079803295,5.909982371838857,-0.041685671402387006
10,10,60.23283752860412,1.1428571428571428,9.429990095156663,0.48348593099372933,1.889142659106549,0.2515364226825877,0.7815512430375815,-2.0604811394124845,-1.0190454096020902,0.04774022939767697,0.22390871766680207,6.116508632163316,5.680461013827522,-0.03863997082717892
11,11,60.23112128146453,1.1428571428571428,10.057203393549836,0.5156438444639696,2.122216640778222,0.28256986279229673,0.8345874975506096,-1.9850828102928597,-0.9802753101752676,0.047668108812754455,0.2515335749564476,5.844415071557675,5.451745030401098,-0.03558342080393456
12,12,60.22940503432494,1.1428571428571428,10.653827138419569,0.54623339798741,2.354898893912414,0.3135511448532181,0.8858519416119481,-1.9114489290373848,-0.9424160859755383,0.047595940711775704,0.27911200301848677,5.5764769510128565,5.225314041792405,-0.032536029634962875
13,13,60.22768878718536,1.1428571428571428,11.221353199895464,0.5753310813812461,2.5859188770571904,0.3443110982364694,0.9353656808950284,-1.83955856804352,-0.9054568511336979,0.04752372581474084,0.3064934122159357,5.314097811085291,5.002373591316548,-0.029514519242709213
14,14,60.22597254004577,1.1428571428571428,11.761200688742338,0.6030096540102686,2.8142195512306767,0.3747089798367826,0.9831503109751782,-1.7693903092591556,-0.8693864708043022,0.04745146485114674,0.3335525180755364,5.058382630010328,4.783894372371603,-0.02653275872910518
15,15,60.224256292906176,1.1428571428571428,12.274719504876305,0.629338326723175,3.0389291611650564,0.4046287167887952,1.02922789266513,-1.7009222687197623,-0.8341935737675013,0.04737915855751519,0.36018599668832146,4.810183132244608,4.570646280757013,-0.02360214450747022
16,16,60.22254004576659,1.1428571428571428,12.763193712817706,0.6543829349157406,3.2593364850695234,0.43397561101127385,1.07362092679808,-1.6341321216424287,-0.7998665653087133,0.04730680767787542,0.38630955121287003,4.570136891818063,4.363227953500919,-0.020731933422727614
17,17,60.220823798627,1.1428571428571428,13.227844752521248,0.6782061031536006,3.4748691379018384,0.4626734503212859,1.1163523285298016,-1.5689971280141712,-0.7663936403458053,0.047234412962213236,0.4118553402925743,4.338701046165674,4.162092372015775,-0.01792953451596149
18,18,60.21910755148741,1.1428571428571428,13.669834493612106,0.700867401766284,3.6850745622664345,0.49066197740168765,1.1574454012297508,-1.5054941585764814,-0.733762796762707,0.04716197516704907,0.43676972502111705,4.116181330821767,3.9675690344890473,-0.015200764413772914
19,19,60.21739130434783,1.1428571428571428,14.090268140665183,0.7224234958040655,3.8896033843948357,0.5178946736756643,1.1969238100326685,-1.4435997211608154,-0.7019618489182481,0.047089495053950575,0.4610112962269308,3.9027570535178726,3.7798831386418437,-0.012550070732933388
20,20,60.21567505720824,1.1428571428571428,14.490196996792218,0.7429282867301078,4.088194850892802,0.544336820232141,1.2348115551212846,-1.3832899873028603,-0.6709784412909978,0.04701697338867289,0.4845491483784244,3.6985025461712,3.599172160222241,-0.009980727365586167
21,21,60.21395881006865,1.1428571428571428,14.870621092447166,0.7624330472021944,4.280664095659262,0.5699638024357354,1.271132944812292,-1.324540819041542,-0.6408000622236069,0.046944410940371904,0.5073613704084629,3.503405563462434,3.425500163830997,-0.007495005050551475
22,22,60.21224256292906,1.1428571428571428,15.232491686023227,0.7809865492810817,4.466891016125173,0.5947596288151704,1.3059125685117579,-1.267327795858697,-0.6114140577326965,0.04687180848150478,0.5294337272818607,3.317383035833012,3.258870140032066,-0.005094320229580146
23,23,60.21052631578947,1.1428571428571428,15.576713642494315,0.7986351863860544,4.646810564194185,0.6187156383170418,1.3391752696141346,-1.211626241687913,-0.5828076453487004,0.04679916678690802,0.5507585092389712,3.1402945317070543,3.099234625414963,-0.002779364830417467
24,24,60.20881006864989,1.1428571428571428,15.904147696048819,0.8154230893026395,4.8204042804042855,0.6418293730925384,1.3709461184092664,-1.157411251902829,-0.5549679279509893,0.04672648663210081,0.5713335283907811,2.971953737533038,2.946504829676768,-0.0005502193023231364
25,25,60.2070938215103,1.1428571428571428,16.215612602373405,0.8313922365325568,4.987692920235169,0.664103596701674,1.4012503850648894,-1.1046577202415975,-0.5278819075611707,0.046653768795114015,0.5911612447594707,2.812138223939031,2.8005584652942628,0.001593549050997796
26,26,60.20537757437071,1.1428571428571428,16.51188718596871,0.8465825592618379,5.148730039481364,0.6855454400156429,1.4301135127481324,-1.0533403656002305,-0.5015364990702498,0.046581014052546145,0.610248005991269,2.6605977312133007,2.661246450437459,0.0036528006336116817
27,27,60.203661327231124,1.1428571428571428,16.79371228761626,0.8610320412095923,5.303596421480123,0.7061656592108337,1.4575610909497438,-1.0034337586263264,-0.47591854385731847,0.04650822318117444,0.6286033868492922,2.517061176752024,2.528398634010915,0.005628749434843972
28,28,60.201945080091534,1.1428571428571428,17.061792616866313,0.874776813607088,5.45239524297603,0.7259779921111806,1.4836188290727748,-0.954912348036463,-0.4510148232749486,0.04643539695708506,0.646239616252548,2.3812425604941105,2.4018286726688873,0.007522898821735072
29,29,60.20022883295194,1.1428571428571428,17.316798514178803,0.8878512455446512,5.595247887742358,0.7449986007783221,1.508312530341005,-0.9077504866437103,-0.4268120719717744,0.04636253615420684,0.6631710810896543,2.2528459211338108,2.281338173021863,0.009336986019289999
30,30,60.19851258581236,1.1428571428571428,17.559367627123653,0.9002880299122932,5.732290327957218,0.7632455896974336,1.5316680660828474,-0.8619224570001194,-0.4032969910218459,0.046289641543663156,0.6794138973251156,2.1315694757598753,2.1667201977212094,0.011072934199122704
31,31,60.19679633867277,1.1428571428571428,17.79010650483183,0.9121182651489648,5.863670002922675,0.7807385901835068,1.5537113504464628,-0.8174024966071114,-0.38045626083315565,0.04621671389458026,0.6949855400526741,2.017109057964655,2.0577622214112044,0.012732811226960516
32,32,60.19508009153318,1.1428571428571428,18.00959211468412,0.923371533004852,5.989543133169039,0.7974984027584892,1.5744683155924921,-0.7741648226691211,-0.3582765538147332,0.046143753971723225,0.7099045251522424,1.9091609541512045,1.9542486114425333,0.014318794230507373
33,33,60.193363844393595,1.1428571428571428,18.218373285030104,0.93407597251116,6.110072415438303,0.8135466902418965,1.5939648874139234,-0.7321836563083384,-0.33674454677203836,0.046070762535733494,0.7241901360901557,1.8074242244928211,1.8559626985612616,0.01583313925719001
34,34,60.191647597254004,1.1428571428571428,18.416972077544898,0.9442583503423481,6.225425050608642,0.8289057151720093,1.6122269618246143,-0.6914332462218953,-0.31584693301148004,0.045997740343093,0.737862190180921,1.7116025833758992,1.7626884943209504,0.01727815537461546
35,35,60.18993135011441,1.1428571428571428,18.60588509265528,0.9539441277467579,6.335771062409953,0.8435981159454474,1.629280381658882,-0.6518878917382009,-0.29557043413597306,0.04592468814434556,0.7509408393146833,1.6214059041003688,1.6742121045787681,0.018656182645657635
36,36,60.18821510297483,1.1428571428571428,18.78558471129943,0.9631575242129965,6.441281869880912,0.8576467167420374,1.64515091421924,-0.6135219652245727,-0.27590181150584536,0.04585160668476933,0.7634464007591453,1.536551403858469,1.5903228819947703,0.019969573483290967
37,37,60.18649885583524,1.1428571428571428,18.956520276125296,0.9719215780312738,6.5421290810119475,0.8710743669002384,1.659864229505592,-0.5763099338103039,-0.25682787735347323,0.045778496703234924,0.7753992141773245,1.4567645573923462,1.5108143548163961,0.02122067694492799
38,38,60.18478260869565,1.1428571428571428,19.119119215081312,0.9802582039011268,6.638483478977533,0.8839038059355415,1.6734458791578533,-0.5402263804189511,-0.23833550553381122,0.045705358932100135,0.7868195214717638,1.3817797810936043,1.435484964324752,0.02241182558468627
39,39,60.183066361556065,1.1428571428571428,19.27378811020887,0.988188247729585,6.7305141758485405,0.8961575508585782,1.6859212761379805,-0.5052460240440038,-0.22041164189628726,0.0456321940958901,0.7977273664791468,1.3113409236081959,1.3641386390338648,0.023545324525306076
40,40,60.181350114416475,1.1428571428571428,19.42091371430922,0.9957315387567948,6.818387911746713,0.9078578028586226,1.6973156751780571,-0.4713437392852571,-0.20304331426611122,0.04555900291211849,0.8081425119032919,1.2452015939581922,1.2965852299968883,0.024623442457210105
41,41,60.17963386727689,1.1428571428571428,19.56086391802691,1.002906939139449,6.9022684801078835,0.9190263707782788,1.707654154013083,-0.4384945750832703,-0.1862176420238355,0.0454857860904359,0.8180843711950592,1.1831253539246394,1.2326408283160937,0.025648404303081532
42,42,60.1779176201373,1.1428571428571428,19.69398866976805,1.009732391116003,6.982316262101701,0.929684609122186,1.7169615954180095,-0.4066737726738934,-0.16992184527631926,0.0454125443314979,0.8275719533699193,1.1248857976138265,1.1721279831118596,0.02662238532240791
43,43,60.17620137299771,1.1428571428571428,19.820620850753574,1.016224961871618,7.058687855351653,0.939853368621666,1.7252626700623441,-0.3758567827073511,-0.15414325360699987,0.04533927832796811,0.8366238190023724,1.0702665379349219,1.1148758357373736,0.027547506459635544
44,44,60.174485125858126,1.1428571428571428,19.941077107395706,1.0224008862150118,7.1315357839438285,0.9495529576228368,1.7326127322003781,-0.3466221944611325,-0.13917718995442985,0.04526805554985379,0.8452580458550288,1.0185514998472933,1.0604599495776448,0.028427577726802267
45,45,60.172768878718536,1.1428571428571428,20.05565864307891,1.0282756071739383,7.201008278335928,0.9588031127818386,1.739157956739179,-0.32072550820971824,-0.12591983091463377,0.04520507776262029,0.8534922027925499,0.9680102493472758,1.007939693038661,0.02926994523759882
46,46,60.171052631578945,1.1428571428571428,20.164651971325252,1.0338638146108001,7.2672491152058125,0.9676229777409158,1.7449140750538383,-0.2956160494754778,-0.11306804246541802,0.045142081175078376,0.8613433307998579,0.9205767427390986,0.9582477035501051,0.030069622843476355
47,47,60.16933638443936,1.1428571428571428,20.268329632227438,1.0391794819549567,7.330397508534485,0.976031088626284,1.7498971097846816,-0.2712778737093968,-0.10061359683837268,0.045079066236348046,0.8688279300728577,0.8760731121937346,0.9112395276341616,0.030828475468835735
48,48,60.16762013729977,1.1428571428571428,20.366950873941004,1.0442359011435762,7.390588044322358,0.9840453653557028,1.7541233087965402,-0.24769481035102903,-0.08854815069494726,0.04501603339685235,0.8759619522807488,0.83433029038461,0.8667769993006782,0.031548304377332095
49,49,60.16590389016018,1.1428571428571428,20.460762300939745,1.049045715858401,7.447950652307903,0.9916831078728567,1.757609086332268,-0.22485052152909635,-0.07686327533987358,0.044952983110335736,0.882760797214006,0.7951877497914379,0.8247281166742864,0.03223084697828252
50,50,60.1641876430206,1.1428571428571428,20.549998490655348,1.0536209531415388,7.502610608910279,0.998960996539163,1.760370970473879,-0.2027285544928814,-0.0655504836954035,0.04488991583058204,0.8892393131331529,0.7584932228636643,0.7849668969081708,0.03287777703134477
51,51,60.162471395881006,1.1428571428571428,20.634882580043158,1.0579730534693321,7.5546885663663,1.0058950960133122,1.7624255561636826,-0.1813123884837342,-0.05460125442031649,0.04482683201037546,0.8954118002221897,0.724102408628757,0.7473732141550845,0.033490705189724336
